Orthogroup	MN562489.1	KC244182.1
OG0000000	MN562489.1_00102	KC244182.1_00029
OG0000001	MN562489.1_00080	KC244182.1_00007
OG0000002	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131	KC244182.1_00077
OG0000003	MN562489.1_00081	KC244182.1_00008
OG0000004	MN562489.1_00087	KC244182.1_00014
OG0000005	MN562489.1_00099	KC244182.1_00028
OG0000006	MN562489.1_00116	KC244182.1_00076
OG0000007	MN562489.1_00052	KC244182.1_00090
OG0000008	MN562489.1_00060	KC244182.1_00112
OG0000009	MN562489.1_00059	KC244182.1_00114
OG0000010	MN562489.1_00124	KC244182.1_00005
OG0000011	MN562489.1_00096	KC244182.1_00022
OG0000012	MN562489.1_00012	KC244182.1_00030
OG0000013	MN562489.1_00011	KC244182.1_00032
OG0000014	MN562489.1_00008	KC244182.1_00034
OG0000015	MN562489.1_00038	KC244182.1_00056
OG0000016	MN562489.1_00128	KC244182.1_00063
OG0000017	MN562489.1_00046	KC244182.1_00086
OG0000018	MN562489.1_00047	KC244182.1_00087
OG0000019	MN562489.1_00063	KC244182.1_00107
OG0000020	MN562489.1_00058	KC244182.1_00121
OG0000021	MN562489.1_00133	KC244182.1_00122
OG0000022	MN562489.1_00023	KC244182.1_00043
OG0000023	MN562489.1_00056	KC244182.1_00095
OG0000024	MN562489.1_00062	KC244182.1_00110
OG0000025	MN562489.1_00113	KC244182.1_00064
OG0000026	MN562489.1_00049	KC244182.1_00088
OG0000027	MN562489.1_00026	KC244182.1_00046
OG0000028	MN562489.1_00126	KC244182.1_00006
OG0000029	MN562489.1_00041	KC244182.1_00061
OG0000030	MN562489.1_00107	KC244182.1_00001
OG0000031	MN562489.1_00118	KC244182.1_00081
OG0000032	MN562489.1_00050	KC244182.1_00089
OG0000033	MN562489.1_00109	KC244182.1_00123
OG0000034	MN562489.1_00086	KC244182.1_00012
OG0000035	MN562489.1_00132	KC244182.1_00013
OG0000036	MN562489.1_00091	KC244182.1_00018
OG0000037	MN562489.1_00092	KC244182.1_00019
OG0000038	MN562489.1_00097	KC244182.1_00023
OG0000039	MN562489.1_00089	KC244182.1_00024
OG0000040	MN562489.1_00134	KC244182.1_00031
OG0000041	MN562489.1_00013	KC244182.1_00035
OG0000042	MN562489.1_00030	KC244182.1_00048
OG0000043	MN562489.1_00031	KC244182.1_00049
OG0000044	MN562489.1_00036	KC244182.1_00054
OG0000045	MN562489.1_00037	KC244182.1_00055
OG0000046	MN562489.1_00039	KC244182.1_00057
OG0000047	MN562489.1_00051	KC244182.1_00058
OG0000048	MN562489.1_00040	KC244182.1_00060
OG0000049	MN562489.1_00117	KC244182.1_00078
OG0000050	MN562489.1_00119	KC244182.1_00082
OG0000051	MN562489.1_00005	KC244182.1_00083
OG0000052	MN562489.1_00055	KC244182.1_00094
OG0000053	MN562489.1_00105	KC244182.1_00096
OG0000054	MN562489.1_00104	KC244182.1_00099
OG0000055	MN562489.1_00061	KC244182.1_00111
OG0000056	MN562489.1_00057	KC244182.1_00116
OG0000057	MN562489.1_00001	KC244182.1_00118
OG0000058	MN562489.1_00106	KC244182.1_00002
OG0000059	MN562489.1_00083	KC244182.1_00010
OG0000060	MN562489.1_00090	KC244182.1_00017
OG0000061	MN562489.1_00053	KC244182.1_00091
OG0000062	MN562489.1_00073	KC244182.1_00025
OG0000113	MN562489.1_00095	KC244182.1_00021
OG0000115	MN562489.1_00035	KC244182.1_00053
OG0000117	MN562489.1_00054	KC244182.1_00092
