Orthogroup	MN562489.1	HF920633.1
OG0000000	MN562489.1_00102	HF920633.1_00044
OG0000001	MN562489.1_00080	HF920633.1_00073
OG0000003	MN562489.1_00081	HF920633.1_00069
OG0000004	MN562489.1_00087	HF920633.1_00127
OG0000005	MN562489.1_00099	HF920633.1_00043
OG0000006	MN562489.1_00116	HF920633.1_00025
OG0000007	MN562489.1_00052	HF920633.1_00091
OG0000008	MN562489.1_00060	HF920633.1_00079
OG0000009	MN562489.1_00059	HF920633.1_00122
OG0000010	MN562489.1_00124	HF920633.1_00097
OG0000011	MN562489.1_00096	HF920633.1_00001
OG0000012	MN562489.1_00012	HF920633.1_00080
OG0000013	MN562489.1_00011	HF920633.1_00158
OG0000014	MN562489.1_00008	HF920633.1_00175
OG0000015	MN562489.1_00038	HF920633.1_00067
OG0000016	MN562489.1_00128	HF920633.1_00118
OG0000017	MN562489.1_00046	HF920633.1_00163
OG0000018	MN562489.1_00047	HF920633.1_00094
OG0000019	MN562489.1_00063	HF920633.1_00003
OG0000020	MN562489.1_00058	HF920633.1_00138
OG0000021	MN562489.1_00133	HF920633.1_00058
OG0000022	MN562489.1_00023	HF920633.1_00017
OG0000025	MN562489.1_00113	HF920633.1_00047
OG0000028	MN562489.1_00126	HF920633.1_00030
OG0000149	MN562489.1_00069	HF920633.1_00156
