Orthogroup	MN562489.1	AF371960.1
OG0000000	MN562489.1_00102	AF371960.1_00031
OG0000001	MN562489.1_00080	AF371960.1_00007
OG0000002	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131	AF371960.1_00079
OG0000003	MN562489.1_00081	AF371960.1_00008
OG0000004	MN562489.1_00087	AF371960.1_00015
OG0000005	MN562489.1_00099	AF371960.1_00030
OG0000006	MN562489.1_00116	AF371960.1_00078
OG0000007	MN562489.1_00052	AF371960.1_00092
OG0000008	MN562489.1_00060	AF371960.1_00112
OG0000009	MN562489.1_00059	AF371960.1_00113
OG0000010	MN562489.1_00124	AF371960.1_00005
OG0000011	MN562489.1_00096	AF371960.1_00021
OG0000012	MN562489.1_00012	AF371960.1_00032
OG0000013	MN562489.1_00011	AF371960.1_00034
OG0000014	MN562489.1_00008	AF371960.1_00036
OG0000015	MN562489.1_00038	AF371960.1_00057
OG0000016	MN562489.1_00128	AF371960.1_00064
OG0000017	MN562489.1_00046	AF371960.1_00088
OG0000018	MN562489.1_00047	AF371960.1_00089
OG0000019	MN562489.1_00063	AF371960.1_00107
OG0000020	MN562489.1_00058	AF371960.1_00121
OG0000021	MN562489.1_00133	AF371960.1_00122
OG0000022	MN562489.1_00023	AF371960.1_00045
OG0000023	MN562489.1_00056	AF371960.1_00096
OG0000024	MN562489.1_00062	AF371960.1_00110
OG0000025	MN562489.1_00113	AF371960.1_00065
OG0000026	MN562489.1_00049	AF371960.1_00090
OG0000027	MN562489.1_00026	AF371960.1_00048
OG0000028	MN562489.1_00126	AF371960.1_00006
OG0000029	MN562489.1_00041	AF371960.1_00062
OG0000030	MN562489.1_00107	AF371960.1_00001
OG0000031	MN562489.1_00118	AF371960.1_00082
OG0000032	MN562489.1_00050	AF371960.1_00091
OG0000033	MN562489.1_00109	AF371960.1_00123
OG0000034	MN562489.1_00086	AF371960.1_00013
OG0000035	MN562489.1_00132	AF371960.1_00014
OG0000036	MN562489.1_00091	AF371960.1_00019
OG0000037	MN562489.1_00092	AF371960.1_00020
OG0000038	MN562489.1_00097	AF371960.1_00022
OG0000039	MN562489.1_00089	AF371960.1_00023
OG0000040	MN562489.1_00134	AF371960.1_00033
OG0000041	MN562489.1_00013	AF371960.1_00037
OG0000042	MN562489.1_00030	AF371960.1_00049
OG0000043	MN562489.1_00031	AF371960.1_00050
OG0000044	MN562489.1_00036	AF371960.1_00055
OG0000045	MN562489.1_00037	AF371960.1_00056
OG0000046	MN562489.1_00039	AF371960.1_00058
OG0000047	MN562489.1_00051	AF371960.1_00060
OG0000048	MN562489.1_00040	AF371960.1_00061
OG0000049	MN562489.1_00117	AF371960.1_00080
OG0000050	MN562489.1_00119	AF371960.1_00083
OG0000051	MN562489.1_00005	AF371960.1_00084
OG0000052	MN562489.1_00055	AF371960.1_00095
OG0000053	MN562489.1_00105	AF371960.1_00097
OG0000054	MN562489.1_00104	AF371960.1_00100
OG0000055	MN562489.1_00061	AF371960.1_00111
OG0000056	MN562489.1_00057	AF371960.1_00115
OG0000057	MN562489.1_00001	AF371960.1_00117
OG0000058	MN562489.1_00106	AF371960.1_00002
OG0000059	MN562489.1_00083	AF371960.1_00010
OG0000060	MN562489.1_00090	AF371960.1_00018
OG0000061	MN562489.1_00053	AF371960.1_00093
OG0000062	MN562489.1_00073	AF371960.1_00027
OG0000096	MN562489.1_00045	AF371960.1_00119
OG0000114	MN562489.1_00084	AF371960.1_00011
OG0000115	MN562489.1_00035	AF371960.1_00054
OG0000117	MN562489.1_00054	AF371960.1_00094
OG0000129	MN562489.1_00075	AF371960.1_00074
