Orthogroup	AY532606.1	AY521625.1
OG0000000	AY532606.1_00030	AY521625.1_00091
OG0000001	AY532606.1_00006	AY521625.1_00064
OG0000003	AY532606.1_00007	AY521625.1_00077
OG0000004	AY532606.1_00014	AY521625.1_00130
OG0000005	AY532606.1_00029	AY521625.1_00085
OG0000006	AY532606.1_00078	AY521625.1_00051
OG0000007	AY532606.1_00093	AY521625.1_00016
OG0000008	AY532606.1_00116, AY532606.1_00117	AY521625.1_00069, AY521625.1_00070
OG0000009	AY532606.1_00120, AY532606.1_00119	AY521625.1_00142
OG0000010	AY532606.1_00004	AY521625.1_00054
OG0000011	AY532606.1_00020	AY521625.1_00110
OG0000012	AY532606.1_00031	AY521625.1_00074
OG0000013	AY532606.1_00033	AY521625.1_00059
OG0000014	AY532606.1_00035	AY521625.1_00065
OG0000015	AY532606.1_00057	AY521625.1_00048
OG0000016	AY532606.1_00064	AY521625.1_00053
OG0000017	AY532606.1_00088	AY521625.1_00086
OG0000018	AY532606.1_00089	AY521625.1_00073
OG0000019	AY532606.1_00111	AY521625.1_00047
OG0000020	AY532606.1_00125	AY521625.1_00115
OG0000021	AY532606.1_00126	AY521625.1_00035
OG0000023	AY532606.1_00099, AY532606.1_00098	AY521625.1_00100
OG0000024	AY532606.1_00114	AY521625.1_00060
OG0000026	AY532606.1_00090	AY521625.1_00022
OG0000030	AY532606.1_00001	AY521625.1_00004
