Orthogroup	AY532606.1	L63545.1
OG0000000	AY532606.1_00030	L63545.1_00007
OG0000001	AY532606.1_00006	L63545.1_00079
OG0000003	AY532606.1_00007	L63545.1_00035
OG0000004	AY532606.1_00014	L63545.1_00076
OG0000005	AY532606.1_00029	L63545.1_00108
OG0000006	AY532606.1_00078	L63545.1_00093
OG0000007	AY532606.1_00093	L63545.1_00090
OG0000008	AY532606.1_00116, AY532606.1_00117	L63545.1_00001
OG0000009	AY532606.1_00120, AY532606.1_00119	L63545.1_00024
OG0000010	AY532606.1_00004	L63545.1_00043
OG0000011	AY532606.1_00020	L63545.1_00071
OG0000012	AY532606.1_00031	L63545.1_00098
OG0000013	AY532606.1_00033	L63545.1_00072
OG0000014	AY532606.1_00035	L63545.1_00013
OG0000015	AY532606.1_00057	L63545.1_00004
OG0000016	AY532606.1_00064	L63545.1_00069
OG0000017	AY532606.1_00088	L63545.1_00009
OG0000018	AY532606.1_00089	L63545.1_00073
OG0000019	AY532606.1_00111	L63545.1_00068
OG0000020	AY532606.1_00125	L63545.1_00030
OG0000021	AY532606.1_00126	L63545.1_00110
OG0000023	AY532606.1_00099, AY532606.1_00098	L63545.1_00056
OG0000024	AY532606.1_00114	L63545.1_00002
OG0000026	AY532606.1_00090	L63545.1_00058
OG0000027	AY532606.1_00047	L63545.1_00003
