Orthogroup	AY532606.1	KT804738.1
OG0000000	AY532606.1_00030	KT804738.1_00029
OG0000001	AY532606.1_00006	KT804738.1_00007
OG0000002	AY532606.1_00079	KT804738.1_00073
OG0000003	AY532606.1_00007	KT804738.1_00008
OG0000004	AY532606.1_00014	KT804738.1_00015
OG0000005	AY532606.1_00029	KT804738.1_00028
OG0000006	AY532606.1_00078	KT804738.1_00072
OG0000007	AY532606.1_00093	KT804738.1_00086
OG0000008	AY532606.1_00116, AY532606.1_00117	KT804738.1_00109
OG0000009	AY532606.1_00120, AY532606.1_00119	KT804738.1_00111
OG0000010	AY532606.1_00004	KT804738.1_00005
OG0000011	AY532606.1_00020	KT804738.1_00021
OG0000012	AY532606.1_00031	KT804738.1_00030
OG0000013	AY532606.1_00033	KT804738.1_00032
OG0000014	AY532606.1_00035	KT804738.1_00034
OG0000015	AY532606.1_00057	KT804738.1_00055
OG0000016	AY532606.1_00064	KT804738.1_00060
OG0000017	AY532606.1_00088	KT804738.1_00082
OG0000018	AY532606.1_00089	KT804738.1_00083
OG0000019	AY532606.1_00111	KT804738.1_00104
OG0000020	AY532606.1_00125	KT804738.1_00119
OG0000021	AY532606.1_00126	KT804738.1_00120
OG0000023	AY532606.1_00099, AY532606.1_00098	KT804738.1_00092
OG0000024	AY532606.1_00114	KT804738.1_00107
OG0000025	AY532606.1_00066, AY532606.1_00065	KT804738.1_00061
OG0000026	AY532606.1_00090	KT804738.1_00084
OG0000027	AY532606.1_00047	KT804738.1_00046
OG0000028	AY532606.1_00005	KT804738.1_00006
OG0000029	AY532606.1_00062	KT804738.1_00058
OG0000030	AY532606.1_00001	KT804738.1_00001
OG0000031	AY532606.1_00083	KT804738.1_00077
OG0000032	AY532606.1_00091	KT804738.1_00085
OG0000033	AY532606.1_00127	KT804738.1_00121
OG0000034	AY532606.1_00012	KT804738.1_00013
OG0000035	AY532606.1_00013	KT804738.1_00014
OG0000036	AY532606.1_00018	KT804738.1_00019
OG0000037	AY532606.1_00019	KT804738.1_00020
OG0000038	AY532606.1_00021	KT804738.1_00022
OG0000039	AY532606.1_00022	KT804738.1_00023
OG0000040	AY532606.1_00032	KT804738.1_00031
OG0000041	AY532606.1_00036	KT804738.1_00035
OG0000042	AY532606.1_00049	KT804738.1_00047
OG0000043	AY532606.1_00050	KT804738.1_00048
OG0000044	AY532606.1_00055	KT804738.1_00053
OG0000045	AY532606.1_00056	KT804738.1_00054
OG0000047	AY532606.1_00059	KT804738.1_00056
OG0000048	AY532606.1_00061	KT804738.1_00057
OG0000049	AY532606.1_00080	KT804738.1_00074
OG0000050	AY532606.1_00084	KT804738.1_00078
OG0000051	AY532606.1_00085	KT804738.1_00079
OG0000052	AY532606.1_00097	KT804738.1_00091
OG0000053	AY532606.1_00100	KT804738.1_00093
OG0000054	AY532606.1_00103	KT804738.1_00096
OG0000055	AY532606.1_00115	KT804738.1_00108
OG0000056	AY532606.1_00122	KT804738.1_00113
OG0000057	AY532606.1_00124	KT804738.1_00115
OG0000059	AY532606.1_00009	KT804738.1_00010
OG0000060	AY532606.1_00017	KT804738.1_00018
OG0000061	AY532606.1_00094	KT804738.1_00087
OG0000062	AY532606.1_00026	KT804738.1_00025
OG0000063	AY532606.1_00075	KT804738.1_00069
OG0000064	AY532606.1_00016	KT804738.1_00017
OG0000065	AY532606.1_00038	KT804738.1_00037
OG0000066	AY532606.1_00043	KT804738.1_00041
OG0000067	AY532606.1_00046	KT804738.1_00045
OG0000068	AY532606.1_00069	KT804738.1_00064
OG0000069	AY532606.1_00102	KT804738.1_00095
OG0000070	AY532606.1_00104	KT804738.1_00097
OG0000071	AY532606.1_00121	KT804738.1_00112
OG0000072	AY532606.1_00008	KT804738.1_00009
OG0000073	AY532606.1_00011	KT804738.1_00011
OG0000074	AY532606.1_00015	KT804738.1_00016
OG0000075	AY532606.1_00034	KT804738.1_00033
OG0000076	AY532606.1_00037	KT804738.1_00036
OG0000077	AY532606.1_00040	KT804738.1_00039
OG0000078	AY532606.1_00042	KT804738.1_00040
OG0000079	AY532606.1_00045	KT804738.1_00044
OG0000080	AY532606.1_00051	KT804738.1_00049
OG0000081	AY532606.1_00052	KT804738.1_00050
OG0000082	AY532606.1_00053	KT804738.1_00051
OG0000083	AY532606.1_00063	KT804738.1_00059
OG0000084	AY532606.1_00067	KT804738.1_00062
OG0000085	AY532606.1_00070	KT804738.1_00065
OG0000086	AY532606.1_00071	KT804738.1_00066
OG0000087	AY532606.1_00076	KT804738.1_00070
OG0000088	AY532606.1_00077	KT804738.1_00071
OG0000089	AY532606.1_00086	KT804738.1_00080
OG0000090	AY532606.1_00087	KT804738.1_00081
OG0000091	AY532606.1_00101	KT804738.1_00094
OG0000092	AY532606.1_00105	KT804738.1_00098
OG0000093	AY532606.1_00109	KT804738.1_00102
OG0000094	AY532606.1_00112	KT804738.1_00105
OG0000095	AY532606.1_00113	KT804738.1_00106
OG0000097	AY532606.1_00002	KT804738.1_00003
OG0000098	AY532606.1_00003	KT804738.1_00004
OG0000099	AY532606.1_00039	KT804738.1_00038
OG0000101	AY532606.1_00073	KT804738.1_00067
OG0000102	AY532606.1_00081	KT804738.1_00075
OG0000103	AY532606.1_00106	KT804738.1_00099
OG0000104	AY532606.1_00110	KT804738.1_00103
OG0000105	AY532606.1_00123	KT804738.1_00114
OG0000106	AY532606.1_00028	KT804738.1_00027
OG0000107	AY532606.1_00107	KT804738.1_00100
OG0000109	AY532606.1_00074	KT804738.1_00068
OG0000111	AY532606.1_00096	KT804738.1_00090
OG0000112	AY532606.1_00082	KT804738.1_00076
OG0000115	AY532606.1_00054	KT804738.1_00052
OG0000116	AY532606.1_00068	KT804738.1_00063
OG0000118	AY532606.1_00108	KT804738.1_00101
OG0000119	AY532606.1_00118	KT804738.1_00110
OG0000163	AY532606.1_00027	KT804738.1_00026
