Orthogroup	MT798582.1	MN803438.1
OG0000000	MT798582.1_00076	MN803438.1_00124
OG0000001	MT798582.1_00018	MN803438.1_00101, MN803438.1_00056
OG0000002	MT798582.1_00019	MN803438.1_00023
OG0000003	MT798582.1_00012	MN803438.1_00113
OG0000004	MT798582.1_00037	MN803438.1_00104
OG0000005	MT798582.1_00111	MN803438.1_00071
OG0000006	MT798582.1_00088	MN803438.1_00142
OG0000007	MT798582.1_00116	MN803438.1_00027
OG0000008	MT798582.1_00077	MN803438.1_00106
OG0000009	MT798582.1_00036	MN803438.1_00109
OG0000011	MT798582.1_00100	MN803438.1_00049
OG0000012	MT798582.1_00004	MN803438.1_00128
OG0000013	MT798582.1_00049	MN803438.1_00007
OG0000014	MT798582.1_00028	MN803438.1_00070
OG0000015	MT798582.1_00027	MN803438.1_00046
OG0000016	MT798582.1_00119	MN803438.1_00122
OG0000017	MT798582.1_00073	MN803438.1_00035
OG0000018	MT798582.1_00042	MN803438.1_00051
OG0000019	MT798582.1_00120	MN803438.1_00097
OG0000020	MT798582.1_00075	MN803438.1_00068
OG0000021	MT798582.1_00021	MN803438.1_00089
OG0000022	MT798582.1_00071	MN803438.1_00013
OG0000023	MT798582.1_00062	MN803438.1_00077
OG0000024	MT798582.1_00080	MN803438.1_00024
OG0000026	MT798582.1_00039	MN803438.1_00126
OG0000027	MT798582.1_00118	MN803438.1_00037
OG0000028	MT798582.1_00059	MN803438.1_00054
OG0000031	MT798582.1_00020	MN803438.1_00145
