Orthogroup	MT798582.1	NC_027778.1
OG0000000	MT798582.1_00076	NC_027778.1_00083
OG0000001	MT798582.1_00018	NC_027778.1_00062
OG0000002	MT798582.1_00019	NC_027778.1_00061
OG0000003	MT798582.1_00012	NC_027778.1_00068
OG0000004	MT798582.1_00037	NC_027778.1_00040
OG0000005	MT798582.1_00111	NC_027778.1_00036
OG0000006	MT798582.1_00088	NC_027778.1_00098
OG0000007	MT798582.1_00116	NC_027778.1_00032
OG0000008	MT798582.1_00077	NC_027778.1_00080
OG0000009	MT798582.1_00036	NC_027778.1_00039
OG0000010	MT798582.1_00087	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000011	MT798582.1_00100	NC_027778.1_00111
OG0000012	MT798582.1_00004	NC_027778.1_00077
OG0000013	MT798582.1_00049	NC_027778.1_00018
OG0000014	MT798582.1_00028	NC_027778.1_00038
OG0000015	MT798582.1_00027	NC_027778.1_00116
OG0000016	MT798582.1_00119	NC_027778.1_00027
OG0000017	MT798582.1_00073	NC_027778.1_00132
OG0000018	MT798582.1_00042	NC_027778.1_00043
OG0000019	MT798582.1_00120	NC_027778.1_00026
OG0000020	MT798582.1_00075	NC_027778.1_00133
OG0000021	MT798582.1_00021	NC_027778.1_00106
OG0000022	MT798582.1_00071	NC_027778.1_00129
OG0000023	MT798582.1_00062	NC_027778.1_00003
OG0000024	MT798582.1_00080	NC_027778.1_00054
OG0000025	MT798582.1_00099	NC_027778.1_00094, NC_027778.1_00095
OG0000026	MT798582.1_00039	NC_027778.1_00042
OG0000027	MT798582.1_00118	NC_027778.1_00029
OG0000028	MT798582.1_00059	NC_027778.1_00006
OG0000029	MT798582.1_00102	NC_027778.1_00021
OG0000030	MT798582.1_00025	NC_027778.1_00088
OG0000031	MT798582.1_00020	NC_027778.1_00108
OG0000032	MT798582.1_00084, MT798582.1_00125	NC_027778.1_00100
OG0000033	MT798582.1_00117	NC_027778.1_00030
OG0000034	MT798582.1_00026	NC_027778.1_00090
OG0000035	MT798582.1_00014	NC_027778.1_00067
OG0000036	MT798582.1_00013	NC_027778.1_00115
OG0000037	MT798582.1_00008	NC_027778.1_00072
OG0000038	MT798582.1_00007	NC_027778.1_00073
OG0000039	MT798582.1_00003	NC_027778.1_00078
OG0000040	MT798582.1_00002	NC_027778.1_00070
OG0000041	MT798582.1_00074	NC_027778.1_00117
OG0000042	MT798582.1_00070	NC_027778.1_00134
OG0000043	MT798582.1_00057	NC_027778.1_00010
OG0000044	MT798582.1_00056	NC_027778.1_00011
OG0000045	MT798582.1_00051	NC_027778.1_00016
OG0000046	MT798582.1_00050	NC_027778.1_00017
OG0000047	MT798582.1_00048	NC_027778.1_00019
OG0000048	MT798582.1_00047	NC_027778.1_00031
OG0000049	MT798582.1_00046	NC_027778.1_00020
OG0000050	MT798582.1_00086	NC_027778.1_00099
OG0000051	MT798582.1_00124	NC_027778.1_00101
OG0000052	MT798582.1_00123	NC_027778.1_00126
OG0000053	MT798582.1_00112	NC_027778.1_00035
OG0000054	MT798582.1_00110	NC_027778.1_00086
OG0000055	MT798582.1_00107	NC_027778.1_00085
OG0000056	MT798582.1_00038	NC_027778.1_00041
OG0000057	MT798582.1_00034	NC_027778.1_00037
OG0000058	MT798582.1_00032	NC_027778.1_00121
OG0000059	MT798582.1_00024	NC_027778.1_00087
OG0000060	MT798582.1_00016	NC_027778.1_00064
OG0000061	MT798582.1_00009	NC_027778.1_00071
OG0000062	MT798582.1_00115	NC_027778.1_00033
OG0000096	MT798582.1_00030	NC_027778.1_00025
OG0000114	MT798582.1_00005	NC_027778.1_00076
OG0000116	MT798582.1_00052	NC_027778.1_00015
