Species Tree Node	Duplications (all)	Duplications (50% support)
MCV_Unlassified_OL310752.1	3	3
N43	13	13
Decap_MF599468.1	34	34
N20	1	0
Lymph_LCD4_MN803438.1	5	5
Irido_IIV6_AF303741.1	10	10
MCV_MP1_LYCI_AY779031.1	4	4
N0	2	0
Rana_SGIV_AY521625.1	17	17
N40	1	0
Irido_IIV31_HF920637.1	14	14
N13	1	0
MCV_MP1_RBIV_AY532606.1	2	2
N29	9	7
MCV_ML1_SDDV_NC_027778.1	2	2
N5	1	0
N2	1	0
MCV_MP1_RSIV_BD143114.1	1	1
N1	2	0
N11	2	0
N17	1	0
MCV_MP1_RSIV_ON743042.1	1	1
N30	1	1
N35	1	0
N38	6	6
Chlor_AMIV_KF938901.1	10	10
Chlor_IIV22_HF920633.1	16	16
N41	4	3
N42	2	2
Daphi_LS484712.1	36	36
