Orthogroup	OK042109.1	NC_005946.1
OG0000000	OK042109.1_00047	NC_005946.1_00010
OG0000001	OK042109.1_00069	NC_005946.1_00091
OG0000003	OK042109.1_00068	NC_005946.1_00053
OG0000004	OK042109.1_00061	NC_005946.1_00057
OG0000005	OK042109.1_00048	NC_005946.1_00095
OG0000006	OK042109.1_00001	NC_005946.1_00042
OG0000007	OK042109.1_00110	NC_005946.1_00002
OG0000008	OK042109.1_00088	NC_005946.1_00028
OG0000009	OK042109.1_00086	NC_005946.1_00092
OG0000010	OK042109.1_00071	NC_005946.1_00038
OG0000011	OK042109.1_00054	NC_005946.1_00060
OG0000012	OK042109.1_00046	NC_005946.1_00083
OG0000013	OK042109.1_00044	NC_005946.1_00087
OG0000014	OK042109.1_00042	NC_005946.1_00061
OG0000015	OK042109.1_00020	NC_005946.1_00022
OG0000016	OK042109.1_00013	NC_005946.1_00011
OG0000017	OK042109.1_00114	NC_005946.1_00094
OG0000018	OK042109.1_00113	NC_005946.1_00082
OG0000019	OK042109.1_00093	NC_005946.1_00023
OG0000020	OK042109.1_00078	NC_005946.1_00016
OG0000021	OK042109.1_00077	NC_005946.1_00021
OG0000022	OK042109.1_00033	NC_005946.1_00089
OG0000023	OK042109.1_00105	NC_005946.1_00014
OG0000024	OK042109.1_00090	NC_005946.1_00086
OG0000026	OK042109.1_00112	NC_005946.1_00049
OG0000027	OK042109.1_00030	NC_005946.1_00085
OG0000112	OK042109.1_00120	NC_005946.1_00006
