Orthogroup	OK042109.1	HF920637.1
OG0000000	OK042109.1_00047	HF920637.1_00129, HF920637.1_00164
OG0000001	OK042109.1_00069	HF920637.1_00143
OG0000003	OK042109.1_00068	HF920637.1_00059
OG0000004	OK042109.1_00061	HF920637.1_00159
OG0000005	OK042109.1_00048	HF920637.1_00176, HF920637.1_00175
OG0000006	OK042109.1_00001	HF920637.1_00121
OG0000007	OK042109.1_00110	HF920637.1_00172
OG0000008	OK042109.1_00088	HF920637.1_00025
OG0000009	OK042109.1_00086	HF920637.1_00153
OG0000010	OK042109.1_00071	HF920637.1_00041
OG0000011	OK042109.1_00054	HF920637.1_00001
OG0000012	OK042109.1_00046	HF920637.1_00031
OG0000013	OK042109.1_00044	HF920637.1_00073
OG0000014	OK042109.1_00042	HF920637.1_00213
OG0000015	OK042109.1_00020	HF920637.1_00017
OG0000016	OK042109.1_00013	HF920637.1_00217
OG0000017	OK042109.1_00114	HF920637.1_00197
OG0000018	OK042109.1_00113	HF920637.1_00079
OG0000019	OK042109.1_00093	HF920637.1_00111
OG0000020	OK042109.1_00078	HF920637.1_00108
OG0000021	OK042109.1_00077	HF920637.1_00152
OG0000022	OK042109.1_00033	HF920637.1_00033
OG0000023	OK042109.1_00105	HF920637.1_00221
OG0000024	OK042109.1_00090	HF920637.1_00203
OG0000028	OK042109.1_00070	HF920637.1_00127
