locus_tag	ftype	length_bp	gene	EC_number	COG	product
MN803438.1_00001	CDS	1284				hypothetical protein
MN803438.1_00002	CDS	285				hypothetical protein
MN803438.1_00003	CDS	387				hypothetical protein
MN803438.1_00004	CDS	234				hypothetical protein
MN803438.1_00005	CDS	861		2.1.1.45		Thymidylate synthase
MN803438.1_00006	CDS	285				hypothetical protein
MN803438.1_00007	CDS	495				hypothetical protein
MN803438.1_00008	CDS	1821				hypothetical protein
MN803438.1_00009	CDS	99				hypothetical protein
MN803438.1_00010	CDS	1023				hypothetical protein
MN803438.1_00011	CDS	870				hypothetical protein
MN803438.1_00012	CDS	1572				hypothetical protein
MN803438.1_00013	CDS	3051				hypothetical protein
MN803438.1_00014	CDS	576				hypothetical protein
MN803438.1_00015	CDS	348				hypothetical protein
MN803438.1_00016	CDS	198				hypothetical protein
MN803438.1_00017	CDS	507				hypothetical protein
MN803438.1_00018	CDS	435				hypothetical protein
MN803438.1_00019	CDS	429				hypothetical protein
MN803438.1_00020	CDS	1119				hypothetical protein
MN803438.1_00021	CDS	1281				hypothetical protein
MN803438.1_00022	CDS	861	SERP2			Serine proteinase inhibitor 2
MN803438.1_00023	CDS	1380	MCP			Major capsid protein
MN803438.1_00024	CDS	1125				hypothetical protein
MN803438.1_00025	CDS	234				hypothetical protein
MN803438.1_00026	CDS	672				hypothetical protein
MN803438.1_00027	CDS	963				hypothetical protein
MN803438.1_00028	CDS	732				hypothetical protein
MN803438.1_00029	CDS	273				hypothetical protein
MN803438.1_00030	CDS	1365				hypothetical protein
MN803438.1_00031	CDS	192				hypothetical protein
MN803438.1_00032	CDS	324				hypothetical protein
MN803438.1_00033	CDS	648				hypothetical protein
MN803438.1_00034	CDS	1323				hypothetical protein
MN803438.1_00035	CDS	591				hypothetical protein
MN803438.1_00036	CDS	444				hypothetical protein
MN803438.1_00037	CDS	612				hypothetical protein
MN803438.1_00038	CDS	981				hypothetical protein
MN803438.1_00039	CDS	987				G-protein coupled receptor US28
MN803438.1_00040	CDS	507				hypothetical protein
MN803438.1_00041	CDS	174				hypothetical protein
MN803438.1_00042	CDS	570				hypothetical protein
MN803438.1_00043	CDS	303				hypothetical protein
MN803438.1_00044	CDS	561				hypothetical protein
MN803438.1_00045	CDS	531				hypothetical protein
MN803438.1_00046	CDS	408				hypothetical protein
MN803438.1_00047	CDS	996				hypothetical protein
MN803438.1_00048	CDS	1455				hypothetical protein
MN803438.1_00049	CDS	2838				hypothetical protein
MN803438.1_00050	CDS	987				hypothetical protein
MN803438.1_00051	CDS	2598				hypothetical protein
MN803438.1_00052	CDS	1059				hypothetical protein
MN803438.1_00053	CDS	1278				hypothetical protein
MN803438.1_00054	CDS	687				hypothetical protein
MN803438.1_00055	CDS	120				hypothetical protein
MN803438.1_00056	CDS	1083				hypothetical protein
MN803438.1_00057	CDS	921				hypothetical protein
MN803438.1_00058	CDS	537				hypothetical protein
MN803438.1_00059	CDS	426				hypothetical protein
MN803438.1_00060	CDS	414				hypothetical protein
MN803438.1_00061	CDS	876				hypothetical protein
MN803438.1_00062	CDS	561				hypothetical protein
MN803438.1_00063	CDS	615				hypothetical protein
MN803438.1_00064	CDS	1185				hypothetical protein
MN803438.1_00065	CDS	705				hypothetical protein
MN803438.1_00066	CDS	351				hypothetical protein
MN803438.1_00067	CDS	1026				hypothetical protein
MN803438.1_00068	CDS	240				hypothetical protein
MN803438.1_00069	CDS	339				hypothetical protein
MN803438.1_00070	CDS	735				hypothetical protein
MN803438.1_00071	CDS	876				hypothetical protein
MN803438.1_00072	CDS	333				hypothetical protein
MN803438.1_00073	CDS	843				hypothetical protein
MN803438.1_00074	CDS	384				hypothetical protein
MN803438.1_00075	CDS	525				hypothetical protein
MN803438.1_00076	CDS	1050				hypothetical protein
MN803438.1_00077	CDS	438				hypothetical protein
MN803438.1_00078	CDS	969				hypothetical protein
MN803438.1_00079	CDS	276				hypothetical protein
MN803438.1_00080	CDS	474				hypothetical protein
MN803438.1_00081	CDS	972				G-protein coupled receptor US28
MN803438.1_00082	CDS	873				hypothetical protein
MN803438.1_00083	CDS	936				hypothetical protein
MN803438.1_00084	CDS	135				hypothetical protein
MN803438.1_00085	CDS	1434				hypothetical protein
MN803438.1_00086	CDS	363				hypothetical protein
MN803438.1_00087	CDS	525				hypothetical protein
MN803438.1_00088	CDS	378				hypothetical protein
MN803438.1_00089	CDS	549				hypothetical protein
MN803438.1_00090	CDS	390				hypothetical protein
MN803438.1_00091	CDS	408				hypothetical protein
MN803438.1_00092	CDS	468				hypothetical protein
MN803438.1_00093	CDS	984				hypothetical protein
MN803438.1_00094	CDS	1533				hypothetical protein
MN803438.1_00095	CDS	471				hypothetical protein
MN803438.1_00096	CDS	939				hypothetical protein
MN803438.1_00097	CDS	498				hypothetical protein
MN803438.1_00098	CDS	1005				hypothetical protein
MN803438.1_00099	CDS	477				hypothetical protein
MN803438.1_00100	CDS	156				hypothetical protein
MN803438.1_00101	CDS	1371				hypothetical protein
