Orthogroup	MK098186.1	LS484712.1
OG0000000	MK098186.1_00030	LS484712.1_00114
OG0000001	MK098186.1_00008	LS484712.1_00095
OG0000002	MK098186.1_00007	LS484712.1_00142
OG0000003	MK098186.1_00015	LS484712.1_00187
OG0000005	MK098186.1_00092	LS484712.1_00256
OG0000006	MK098186.1_00073	LS484712.1_00040
OG0000007	MK098186.1_00087	LS484712.1_00234, LS484712.1_00050
OG0000008	MK098186.1_00029	LS484712.1_00248
OG0000009	MK098186.1_00111	LS484712.1_00130
OG0000011	MK098186.1_00061	LS484712.1_00203
OG0000012	MK098186.1_00022	LS484712.1_00200
OG0000013	MK098186.1_00055	LS484712.1_00143
OG0000014	MK098186.1_00119	LS484712.1_00202
OG0000015	MK098186.1_00120	LS484712.1_00135
OG0000016	MK098186.1_00084	LS484712.1_00048
OG0000017	MK098186.1_00033	LS484712.1_00240
OG0000018	MK098186.1_00104	LS484712.1_00053
OG0000019	MK098186.1_00083	LS484712.1_00192
OG0000020	MK098186.1_00031	LS484712.1_00188
OG0000021	MK098186.1_00005	LS484712.1_00096
OG0000022	MK098186.1_00035	LS484712.1_00194
OG0000023	MK098186.1_00044	LS484712.1_00117
OG0000024	MK098186.1_00026	LS484712.1_00149
OG0000068	MK098186.1_00065	LS484712.1_00002
