Orthogroup	MK098186.1	AF303741.1
OG0000000	MK098186.1_00030	AF303741.1_00079, AF303741.1_00152
OG0000001	MK098186.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	MK098186.1_00007	AF303741.1_00125
OG0000003	MK098186.1_00015	AF303741.1_00035
OG0000004	MK098186.1_00109	AF303741.1_00080
OG0000005	MK098186.1_00092	AF303741.1_00129
OG0000006	MK098186.1_00073	AF303741.1_00132
OG0000007	MK098186.1_00087	AF303741.1_00149
OG0000008	MK098186.1_00029	AF303741.1_00165
OG0000009	MK098186.1_00111	AF303741.1_00176
OG0000011	MK098186.1_00061	AF303741.1_00006
OG0000012	MK098186.1_00022	AF303741.1_00011
OG0000013	MK098186.1_00055	AF303741.1_00023
OG0000014	MK098186.1_00119	AF303741.1_00026
OG0000015	MK098186.1_00120	AF303741.1_00046
OG0000016	MK098186.1_00084	AF303741.1_00062
OG0000017	MK098186.1_00033	AF303741.1_00063
OG0000018	MK098186.1_00104	AF303741.1_00081
OG0000019	MK098186.1_00083	AF303741.1_00137
OG0000020	MK098186.1_00031	AF303741.1_00156
OG0000021	MK098186.1_00005	AF303741.1_00158
OG0000022	MK098186.1_00035	AF303741.1_00189
OG0000023	MK098186.1_00044	AF303741.1_00154
OG0000024	MK098186.1_00026	AF303741.1_00168
OG0000025	MK098186.1_00062	AF303741.1_00051
