Orthogroup	MK098186.1	KF938901.1
OG0000000	MK098186.1_00030	KF938901.1_00126
OG0000001	MK098186.1_00008	KF938901.1_00080
OG0000002	MK098186.1_00007	KF938901.1_00044
OG0000003	MK098186.1_00015	KF938901.1_00005
OG0000004	MK098186.1_00109	KF938901.1_00043
OG0000005	MK098186.1_00092	KF938901.1_00125
OG0000006	MK098186.1_00073	KF938901.1_00072
OG0000007	MK098186.1_00087	KF938901.1_00053
OG0000008	MK098186.1_00029	KF938901.1_00067
OG0000009	MK098186.1_00111	KF938901.1_00114
OG0000011	MK098186.1_00061	KF938901.1_00092
OG0000012	MK098186.1_00022	KF938901.1_00054
OG0000013	MK098186.1_00055	KF938901.1_00060
OG0000014	MK098186.1_00119	KF938901.1_00074
OG0000015	MK098186.1_00120	KF938901.1_00095
OG0000016	MK098186.1_00084	KF938901.1_00046
OG0000017	MK098186.1_00033	KF938901.1_00123
OG0000018	MK098186.1_00104	KF938901.1_00025
OG0000019	MK098186.1_00083	KF938901.1_00012
OG0000020	MK098186.1_00031	KF938901.1_00047
OG0000021	MK098186.1_00005	KF938901.1_00124
OG0000022	MK098186.1_00035	KF938901.1_00023
OG0000023	MK098186.1_00044	KF938901.1_00031
OG0000024	MK098186.1_00026	KF938901.1_00094
OG0000025	MK098186.1_00062	KF938901.1_00093
