Orthogroup	GQ273492.1	AY779031.1
OG0000000	GQ273492.1_00030	AY779031.1_00034
OG0000001	GQ273492.1_00007	AY779031.1_00007
OG0000002	GQ273492.1_00074	AY779031.1_00085
OG0000003	GQ273492.1_00008	AY779031.1_00008
OG0000004	GQ273492.1_00015	AY779031.1_00015, AY779031.1_00016
OG0000005	GQ273492.1_00029	AY779031.1_00033
OG0000006	GQ273492.1_00073	AY779031.1_00083
OG0000007	GQ273492.1_00087	AY779031.1_00098
OG0000008	GQ273492.1_00108	AY779031.1_00121
OG0000009	GQ273492.1_00110	AY779031.1_00122
OG0000010	GQ273492.1_00005	AY779031.1_00005
OG0000011	GQ273492.1_00022	AY779031.1_00023
OG0000012	GQ273492.1_00031	AY779031.1_00035
OG0000013	GQ273492.1_00033	AY779031.1_00037
OG0000014	GQ273492.1_00035	AY779031.1_00039
OG0000015	GQ273492.1_00056	AY779031.1_00061
OG0000016	GQ273492.1_00063	AY779031.1_00068
OG0000017	GQ273492.1_00083	AY779031.1_00094
OG0000018	GQ273492.1_00084	AY779031.1_00095
OG0000019	GQ273492.1_00103	AY779031.1_00116
OG0000020	GQ273492.1_00118	AY779031.1_00129
OG0000021	GQ273492.1_00119	AY779031.1_00130
OG0000022	GQ273492.1_00044	AY779031.1_00049
OG0000023	GQ273492.1_00092	AY779031.1_00103
OG0000024	GQ273492.1_00106	AY779031.1_00119
OG0000025	GQ273492.1_00064	AY779031.1_00069
OG0000026	GQ273492.1_00085	AY779031.1_00096
OG0000027	GQ273492.1_00047	AY779031.1_00052
OG0000028	GQ273492.1_00006	AY779031.1_00006
OG0000029	GQ273492.1_00061	AY779031.1_00066
OG0000030	GQ273492.1_00001	AY779031.1_00001
OG0000032	GQ273492.1_00086	AY779031.1_00097
OG0000033	GQ273492.1_00120	AY779031.1_00131
OG0000034	GQ273492.1_00013	AY779031.1_00013
OG0000035	GQ273492.1_00014	AY779031.1_00014
OG0000036	GQ273492.1_00019	AY779031.1_00019
OG0000037	GQ273492.1_00020	AY779031.1_00020
OG0000038	GQ273492.1_00023	AY779031.1_00024
OG0000039	GQ273492.1_00024	AY779031.1_00025
OG0000040	GQ273492.1_00032	AY779031.1_00036
OG0000041	GQ273492.1_00036	AY779031.1_00040
OG0000042	GQ273492.1_00048	AY779031.1_00053
OG0000043	GQ273492.1_00049	AY779031.1_00054
OG0000044	GQ273492.1_00054	AY779031.1_00059
OG0000045	GQ273492.1_00055	AY779031.1_00060
OG0000046	GQ273492.1_00057	AY779031.1_00062
OG0000047	GQ273492.1_00059	AY779031.1_00063
OG0000048	GQ273492.1_00060	AY779031.1_00065
OG0000049	GQ273492.1_00075	AY779031.1_00086
OG0000050	GQ273492.1_00079	AY779031.1_00090
OG0000051	GQ273492.1_00080	AY779031.1_00091
OG0000052	GQ273492.1_00091	AY779031.1_00102
OG0000053	GQ273492.1_00093	AY779031.1_00104
OG0000054	GQ273492.1_00096	AY779031.1_00107
OG0000055	GQ273492.1_00107	AY779031.1_00120
OG0000056	GQ273492.1_00112	AY779031.1_00125
OG0000057	GQ273492.1_00114	AY779031.1_00127
OG0000058	GQ273492.1_00002	AY779031.1_00002
OG0000061	GQ273492.1_00088	AY779031.1_00099
OG0000063	GQ273492.1_00070	AY779031.1_00074, AY779031.1_00075
OG0000064	GQ273492.1_00017	AY779031.1_00123, AY779031.1_00018
OG0000065	GQ273492.1_00038	AY779031.1_00042
OG0000066	GQ273492.1_00042	AY779031.1_00047, AY779031.1_00046
OG0000067	GQ273492.1_00046	AY779031.1_00051
OG0000068	GQ273492.1_00066	AY779031.1_00072
OG0000069	GQ273492.1_00095	AY779031.1_00106
OG0000070	GQ273492.1_00097	AY779031.1_00110, AY779031.1_00111
OG0000071	GQ273492.1_00111	AY779031.1_00124
OG0000072	GQ273492.1_00009	AY779031.1_00009
OG0000073	GQ273492.1_00012	AY779031.1_00012
OG0000074	GQ273492.1_00016	AY779031.1_00017
OG0000075	GQ273492.1_00034	AY779031.1_00038
OG0000076	GQ273492.1_00037	AY779031.1_00041
OG0000077	GQ273492.1_00040	AY779031.1_00044
OG0000078	GQ273492.1_00041	AY779031.1_00045
OG0000079	GQ273492.1_00045	AY779031.1_00050
OG0000080	GQ273492.1_00050	AY779031.1_00055
OG0000081	GQ273492.1_00051	AY779031.1_00056
OG0000082	GQ273492.1_00052	AY779031.1_00057
OG0000083	GQ273492.1_00062	AY779031.1_00067
OG0000084	GQ273492.1_00065	AY779031.1_00070
OG0000085	GQ273492.1_00067	AY779031.1_00073
OG0000086	GQ273492.1_00068	AY779031.1_00076
OG0000087	GQ273492.1_00071	AY779031.1_00081
OG0000088	GQ273492.1_00072	AY779031.1_00082
OG0000089	GQ273492.1_00081	AY779031.1_00092
OG0000090	GQ273492.1_00082	AY779031.1_00093
OG0000091	GQ273492.1_00094	AY779031.1_00105
OG0000092	GQ273492.1_00098	AY779031.1_00112
OG0000093	GQ273492.1_00101	AY779031.1_00114
OG0000094	GQ273492.1_00104	AY779031.1_00117
OG0000095	GQ273492.1_00105	AY779031.1_00118
OG0000097	GQ273492.1_00003	AY779031.1_00003
OG0000098	GQ273492.1_00004	AY779031.1_00004
OG0000099	GQ273492.1_00039	AY779031.1_00043
OG0000100	GQ273492.1_00043	AY779031.1_00048
OG0000102	GQ273492.1_00076	AY779031.1_00087
OG0000104	GQ273492.1_00102	AY779031.1_00115
OG0000105	GQ273492.1_00113	AY779031.1_00126
OG0000106	GQ273492.1_00028	AY779031.1_00032
OG0000110	GQ273492.1_00115	AY779031.1_00128
OG0000111	GQ273492.1_00090	AY779031.1_00101
OG0000112	GQ273492.1_00077	AY779031.1_00088
OG0000113	GQ273492.1_00021	AY779031.1_00022
OG0000114	GQ273492.1_00011	AY779031.1_00011
