Orthogroup	MK689686.1	KF938901.1
OG0000000	MK689686.1_00029	KF938901.1_00126
OG0000001	MK689686.1_00008	KF938901.1_00080
OG0000002	MK689686.1_00007	KF938901.1_00044
OG0000003	MK689686.1_00014	KF938901.1_00005
OG0000004	MK689686.1_00110	KF938901.1_00043
OG0000005	MK689686.1_00093	KF938901.1_00125
OG0000006	MK689686.1_00074	KF938901.1_00072
OG0000007	MK689686.1_00088	KF938901.1_00053
OG0000008	MK689686.1_00028	KF938901.1_00067
OG0000009	MK689686.1_00112	KF938901.1_00114
OG0000011	MK689686.1_00062	KF938901.1_00092
OG0000012	MK689686.1_00021	KF938901.1_00054
OG0000013	MK689686.1_00056	KF938901.1_00060
OG0000014	MK689686.1_00120	KF938901.1_00074
OG0000015	MK689686.1_00121	KF938901.1_00095
OG0000016	MK689686.1_00085	KF938901.1_00046
OG0000017	MK689686.1_00032	KF938901.1_00123
OG0000018	MK689686.1_00105	KF938901.1_00025
OG0000019	MK689686.1_00084	KF938901.1_00012
OG0000020	MK689686.1_00030	KF938901.1_00047
OG0000021	MK689686.1_00005	KF938901.1_00124
OG0000022	MK689686.1_00034	KF938901.1_00023
OG0000023	MK689686.1_00043	KF938901.1_00031
OG0000024	MK689686.1_00025	KF938901.1_00094
OG0000025	MK689686.1_00063	KF938901.1_00093
