Orthogroup	MK689686.1	LS484712.1
OG0000000	MK689686.1_00029	LS484712.1_00114
OG0000001	MK689686.1_00008	LS484712.1_00095
OG0000002	MK689686.1_00007	LS484712.1_00142
OG0000003	MK689686.1_00014	LS484712.1_00187
OG0000005	MK689686.1_00093	LS484712.1_00256
OG0000006	MK689686.1_00074	LS484712.1_00040
OG0000007	MK689686.1_00088	LS484712.1_00234, LS484712.1_00050
OG0000008	MK689686.1_00028	LS484712.1_00248
OG0000009	MK689686.1_00112	LS484712.1_00130
OG0000011	MK689686.1_00062	LS484712.1_00203
OG0000012	MK689686.1_00021	LS484712.1_00200
OG0000013	MK689686.1_00056	LS484712.1_00143
OG0000014	MK689686.1_00120	LS484712.1_00202
OG0000015	MK689686.1_00121	LS484712.1_00135
OG0000016	MK689686.1_00085	LS484712.1_00048
OG0000017	MK689686.1_00032	LS484712.1_00240
OG0000018	MK689686.1_00105	LS484712.1_00053
OG0000019	MK689686.1_00084	LS484712.1_00192
OG0000020	MK689686.1_00030	LS484712.1_00188
OG0000021	MK689686.1_00005	LS484712.1_00096
OG0000022	MK689686.1_00034	LS484712.1_00194
OG0000023	MK689686.1_00043	LS484712.1_00117
OG0000024	MK689686.1_00025	LS484712.1_00149
OG0000068	MK689686.1_00066	LS484712.1_00002
