0: 23043610003.faa
1: 23043610005.faa
2: AB104413.faa
3: AF371960.faa
4: AP017456.faa
5: AY894343.faa
6: BD143114.faa
7: GQ273492.faa
8: KC244182.faa
9: KT781098.faa
10: KT804738.faa
11: MG570131.faa
12: MG570132.faa
13: MK098185.faa
14: MK098186.faa
15: MK098187.faa
16: MK689685.faa
17: MK689686.faa
18: MN432490.faa
19: MN562489.faa
20: MT128666.faa
21: MT128667.faa
22: MT521409.faa
23: MT798582.faa
24: MT926123.faa
25: MT986830.faa
26: MW139932.faa
27: MW273353.faa
28: MW273354.faa
29: MW883593.faa
30: MW883594.faa
31: MW883595.faa
32: MW883596.faa
33: MW883597.faa
34: MW883598.faa
35: MW883599.faa
36: MW883600.faa
37: MW883601.faa
38: MW883602.faa
39: MW883603.faa
40: MW883606.faa
41: NC_003494.faa
42: OK042108.faa
43: OK042109.faa
44: OL774653.faa
45: OL774654.faa
46: OL774655.faa
47: OM037668.faa
48: ON075463.faa
49: ON212400.faa
50: ON740976.faa
51: ON743042.faa
52: OP009387.faa
53: OP896201.faa
54: OQ475017.faa
55: OQ513807.faa
56: OR356116.faa
57: OR536350.faa
58: OR670976.faa
59: PP151097.faa
60: PP974677.faa
61: PQ335173_PQ335174.faa
