Orthogroup	KF938901.1	OP009387.1
OG0000000	KF938901.1_00126	OP009387.1_00030
OG0000001	KF938901.1_00044	OP009387.1_00007
OG0000003	KF938901.1_00080	OP009387.1_00008
OG0000004	KF938901.1_00005	OP009387.1_00015
OG0000005	KF938901.1_00067	OP009387.1_00029
OG0000006	KF938901.1_00072	OP009387.1_00077
OG0000007	KF938901.1_00053	OP009387.1_00091
OG0000008	KF938901.1_00043	OP009387.1_00112
OG0000009	KF938901.1_00114	OP009387.1_00113
OG0000010	KF938901.1_00124	OP009387.1_00005
OG0000011	KF938901.1_00054	OP009387.1_00023
OG0000012	KF938901.1_00047	OP009387.1_00031
OG0000013	KF938901.1_00123	OP009387.1_00033
OG0000014	KF938901.1_00023	OP009387.1_00035
OG0000015	KF938901.1_00060	OP009387.1_00057
OG0000016	KF938901.1_00092	OP009387.1_00064
OG0000017	KF938901.1_00012	OP009387.1_00087
OG0000018	KF938901.1_00046	OP009387.1_00088
OG0000019	KF938901.1_00025	OP009387.1_00107
OG0000020	KF938901.1_00074	OP009387.1_00121
OG0000021	KF938901.1_00095	OP009387.1_00122
OG0000022	KF938901.1_00031	OP009387.1_00044
OG0000025	KF938901.1_00093	OP009387.1_00065
