Orthogroup	KF938901.1	L63545.1
OG0000000	KF938901.1_00126	L63545.1_00007
OG0000001	KF938901.1_00044	L63545.1_00079
OG0000003	KF938901.1_00080	L63545.1_00035
OG0000004	KF938901.1_00005	L63545.1_00076
OG0000005	KF938901.1_00067	L63545.1_00108
OG0000006	KF938901.1_00072	L63545.1_00093
OG0000007	KF938901.1_00053	L63545.1_00090
OG0000008	KF938901.1_00043	L63545.1_00001
OG0000009	KF938901.1_00114	L63545.1_00024
OG0000010	KF938901.1_00124	L63545.1_00043
OG0000011	KF938901.1_00054	L63545.1_00071
OG0000012	KF938901.1_00047	L63545.1_00098
OG0000013	KF938901.1_00123	L63545.1_00072
OG0000014	KF938901.1_00023	L63545.1_00013
OG0000015	KF938901.1_00060	L63545.1_00004
OG0000016	KF938901.1_00092	L63545.1_00069
OG0000017	KF938901.1_00012	L63545.1_00009
OG0000018	KF938901.1_00046	L63545.1_00073
OG0000019	KF938901.1_00025	L63545.1_00068
OG0000020	KF938901.1_00074	L63545.1_00030
OG0000021	KF938901.1_00095	L63545.1_00110
OG0000022	KF938901.1_00031	L63545.1_00054
OG0000137	KF938901.1_00086	L63545.1_00092
OG0000138	KF938901.1_00007	L63545.1_00016
OG0000147	KF938901.1_00094	L63545.1_00015
OG0000148	KF938901.1_00048	L63545.1_00100
OG0000151	KF938901.1_00027	L63545.1_00018
OG0000155	KF938901.1_00065	L63545.1_00023
OG0000159	KF938901.1_00017	L63545.1_00066
OG0000162	KF938901.1_00009	L63545.1_00048
OG0000167	KF938901.1_00106	L63545.1_00012
OG0000183	KF938901.1_00137	L63545.1_00105
