Orthogroup	KF938901.1	MT798582.1
OG0000000	KF938901.1_00126	MT798582.1_00076
OG0000001	KF938901.1_00044	MT798582.1_00019
OG0000003	KF938901.1_00080	MT798582.1_00018
OG0000004	KF938901.1_00005	MT798582.1_00012
OG0000005	KF938901.1_00067	MT798582.1_00077
OG0000006	KF938901.1_00072	MT798582.1_00088
OG0000007	KF938901.1_00053	MT798582.1_00116
OG0000008	KF938901.1_00043	MT798582.1_00037
OG0000009	KF938901.1_00114	MT798582.1_00036
OG0000010	KF938901.1_00124	MT798582.1_00021
OG0000011	KF938901.1_00054	MT798582.1_00004
OG0000012	KF938901.1_00047	MT798582.1_00075
OG0000013	KF938901.1_00123	MT798582.1_00073
OG0000014	KF938901.1_00023	MT798582.1_00071
OG0000015	KF938901.1_00060	MT798582.1_00049
OG0000016	KF938901.1_00092	MT798582.1_00100
OG0000017	KF938901.1_00012	MT798582.1_00120
OG0000018	KF938901.1_00046	MT798582.1_00119
OG0000019	KF938901.1_00025	MT798582.1_00042
OG0000020	KF938901.1_00074	MT798582.1_00028
OG0000021	KF938901.1_00095	MT798582.1_00027
OG0000022	KF938901.1_00031	MT798582.1_00062
OG0000025	KF938901.1_00093	MT798582.1_00099
