Orthogroup	KF938901.1	OK042109.1
OG0000000	KF938901.1_00126	OK042109.1_00047
OG0000001	KF938901.1_00044	OK042109.1_00069
OG0000003	KF938901.1_00080	OK042109.1_00068
OG0000004	KF938901.1_00005	OK042109.1_00061
OG0000005	KF938901.1_00067	OK042109.1_00048
OG0000006	KF938901.1_00072	OK042109.1_00001
OG0000007	KF938901.1_00053	OK042109.1_00110
OG0000008	KF938901.1_00043	OK042109.1_00088
OG0000009	KF938901.1_00114	OK042109.1_00086
OG0000010	KF938901.1_00124	OK042109.1_00071
OG0000011	KF938901.1_00054	OK042109.1_00054
OG0000012	KF938901.1_00047	OK042109.1_00046
OG0000013	KF938901.1_00123	OK042109.1_00044
OG0000014	KF938901.1_00023	OK042109.1_00042
OG0000015	KF938901.1_00060	OK042109.1_00020
OG0000016	KF938901.1_00092	OK042109.1_00013
OG0000017	KF938901.1_00012	OK042109.1_00114
OG0000018	KF938901.1_00046	OK042109.1_00113
OG0000019	KF938901.1_00025	OK042109.1_00093
OG0000020	KF938901.1_00074	OK042109.1_00078
OG0000021	KF938901.1_00095	OK042109.1_00077
OG0000022	KF938901.1_00031	OK042109.1_00033
