Orthogroup	KF938901.1	OM037668.1
OG0000000	KF938901.1_00126	OM037668.1_00035
OG0000001	KF938901.1_00044	OM037668.1_00057
OG0000003	KF938901.1_00080	OM037668.1_00056
OG0000004	KF938901.1_00005	OM037668.1_00050
OG0000005	KF938901.1_00067	OM037668.1_00038
OG0000006	KF938901.1_00072	OM037668.1_00021
OG0000007	KF938901.1_00053	OM037668.1_00084
OG0000008	KF938901.1_00043	OM037668.1_00076
OG0000009	KF938901.1_00114	OM037668.1_00077
OG0000010	KF938901.1_00124	OM037668.1_00013
OG0000011	KF938901.1_00054	OM037668.1_00041
OG0000012	KF938901.1_00047	OM037668.1_00123
OG0000013	KF938901.1_00123	OM037668.1_00124
OG0000014	KF938901.1_00023	OM037668.1_00127
OG0000015	KF938901.1_00060	OM037668.1_00098
OG0000016	KF938901.1_00092	OM037668.1_00009
OG0000017	KF938901.1_00012	OM037668.1_00090
OG0000018	KF938901.1_00046	OM037668.1_00089
OG0000019	KF938901.1_00025	OM037668.1_00073
OG0000020	KF938901.1_00074	OM037668.1_00078
OG0000021	KF938901.1_00095	OM037668.1_00004
OG0000022	KF938901.1_00031	OM037668.1_00113
OG0000025	KF938901.1_00093	OM037668.1_00024
OG0000149	KF938901.1_00108	OM037668.1_00068
