Orthogroup	Chlor_IIV22_HF920633.1	Decap_MF599468.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	Chlor_IIV22_HF920633.1_00073	Decap_MF599468.1_00152
OG0000002	Chlor_IIV22_HF920633.1_00069	Decap_MF599468.1_00163
OG0000003	Chlor_IIV22_HF920633.1_00127	Decap_MF599468.1_00011
OG0000004	Chlor_IIV22_HF920633.1_00079	Decap_MF599468.1_00092
OG0000005	Chlor_IIV22_HF920633.1_00091	Decap_MF599468.1_00174
OG0000006	Chlor_IIV22_HF920633.1_00043	Decap_MF599468.1_00030
OG0000007	Chlor_IIV22_HF920633.1_00025	Decap_MF599468.1_00010
OG0000008	Chlor_IIV22_HF920633.1_00122	Decap_MF599468.1_00075
OG0000009	Chlor_IIV22_HF920633.1_00085	Decap_MF599468.1_00154
OG0000011	Chlor_IIV22_HF920633.1_00163	Decap_MF599468.1_00106
OG0000012	Chlor_IIV22_HF920633.1_00175	Decap_MF599468.1_00071
OG0000013	Chlor_IIV22_HF920633.1_00003	Decap_MF599468.1_00117
OG0000014	Chlor_IIV22_HF920633.1_00094	Decap_MF599468.1_00046
OG0000015	Chlor_IIV22_HF920633.1_00080	Decap_MF599468.1_00090
OG0000016	Chlor_IIV22_HF920633.1_00001	Decap_MF599468.1_00112
OG0000017	Chlor_IIV22_HF920633.1_00067	Decap_MF599468.1_00033
OG0000018	Chlor_IIV22_HF920633.1_00138	Decap_MF599468.1_00122
OG0000019	Chlor_IIV22_HF920633.1_00118	Decap_MF599468.1_00149
OG0000020	Chlor_IIV22_HF920633.1_00058	Decap_MF599468.1_00009
OG0000021	Chlor_IIV22_HF920633.1_00158	Decap_MF599468.1_00035
OG0000022	Chlor_IIV22_HF920633.1_00097	Decap_MF599468.1_00116
OG0000023	Chlor_IIV22_HF920633.1_00017	Decap_MF599468.1_00171
OG0000113	Chlor_IIV22_HF920633.1_00086	Decap_MF599468.1_00096
OG0000113	Chlor_IIV22_HF920633.1_00145	Decap_MF599468.1_00045
OG0000122	Chlor_IIV22_HF920633.1_00116	Decap_MF599468.1_00024, Decap_MF599468.1_00104, Decap_MF599468.1_00101, Decap_MF599468.1_00023, Decap_MF599468.1_00038, Decap_MF599468.1_00070, Decap_MF599468.1_00145, Decap_MF599468.1_00054, Decap_MF599468.1_00055, Decap_MF599468.1_00091, Decap_MF599468.1_00128, Decap_MF599468.1_00103, Decap_MF599468.1_00029, Decap_MF599468.1_00099, Decap_MF599468.1_00100, Decap_MF599468.1_00114, Decap_MF599468.1_00102
OG0000133	Chlor_IIV22_HF920633.1_00064	Decap_MF599468.1_00027
OG0000134	Chlor_IIV22_HF920633.1_00135	Decap_MF599468.1_00002
OG0000138	Chlor_IIV22_HF920633.1_00053	Decap_MF599468.1_00051
OG0000148	Chlor_IIV22_HF920633.1_00026	Decap_MF599468.1_00161
OG0000152	Chlor_IIV22_HF920633.1_00024	Decap_MF599468.1_00060
OG0000154	Chlor_IIV22_HF920633.1_00036	Decap_MF599468.1_00074
OG0000156	Chlor_IIV22_HF920633.1_00106	Decap_MF599468.1_00142
OG0000168	Chlor_IIV22_HF920633.1_00144	Decap_MF599468.1_00081
OG0000169	Chlor_IIV22_HF920633.1_00134	Decap_MF599468.1_00141
OG0000170	Chlor_IIV22_HF920633.1_00082	Decap_MF599468.1_00162
OG0000171	Chlor_IIV22_HF920633.1_00105	Decap_MF599468.1_00004
OG0000172	Chlor_IIV22_HF920633.1_00177	Decap_MF599468.1_00105
OG0000173	Chlor_IIV22_HF920633.1_00169	Decap_MF599468.1_00067
OG0000174	Chlor_IIV22_HF920633.1_00046	Decap_MF599468.1_00155
OG0000186	Chlor_IIV22_HF920633.1_00165	Decap_MF599468.1_00037
OG0000188	Chlor_IIV22_HF920633.1_00056	Decap_MF599468.1_00172
OG0000189	Chlor_IIV22_HF920633.1_00032	Decap_MF599468.1_00052, Decap_MF599468.1_00061
OG0000191	Chlor_IIV22_HF920633.1_00098	Decap_MF599468.1_00065
OG0000193	Chlor_IIV22_HF920633.1_00103	Decap_MF599468.1_00025
OG0000195	Chlor_IIV22_HF920633.1_00128	Decap_MF599468.1_00129
OG0000196	Chlor_IIV22_HF920633.1_00110	Decap_MF599468.1_00022
OG0000197	Chlor_IIV22_HF920633.1_00120	Decap_MF599468.1_00015
OG0000200	Chlor_IIV22_HF920633.1_00149	Decap_MF599468.1_00079
OG0000201	Chlor_IIV22_HF920633.1_00123	Decap_MF599468.1_00044
OG0000202	Chlor_IIV22_HF920633.1_00125	Decap_MF599468.1_00125
OG0000203	Chlor_IIV22_HF920633.1_00022	Decap_MF599468.1_00043
