Orthogroup	Chlor_IIV22_HF920633.1	MCV_ML1_SDDV_MT521409.1
OG0000000	Chlor_IIV22_HF920633.1_00044	MCV_ML1_SDDV_MT521409.1_00103
OG0000001	Chlor_IIV22_HF920633.1_00073	MCV_ML1_SDDV_MT521409.1_00081
OG0000002	Chlor_IIV22_HF920633.1_00069	MCV_ML1_SDDV_MT521409.1_00082
OG0000003	Chlor_IIV22_HF920633.1_00127	MCV_ML1_SDDV_MT521409.1_00088
OG0000004	Chlor_IIV22_HF920633.1_00079	MCV_ML1_SDDV_MT521409.1_00061
OG0000005	Chlor_IIV22_HF920633.1_00091	MCV_ML1_SDDV_MT521409.1_00053
OG0000006	Chlor_IIV22_HF920633.1_00043	MCV_ML1_SDDV_MT521409.1_00100
OG0000007	Chlor_IIV22_HF920633.1_00025	MCV_ML1_SDDV_MT521409.1_00117
OG0000008	Chlor_IIV22_HF920633.1_00122	MCV_ML1_SDDV_MT521409.1_00060
OG0000009	Chlor_IIV22_HF920633.1_00085	MCV_ML1_SDDV_MT521409.1_00057
OG0000011	Chlor_IIV22_HF920633.1_00163	MCV_ML1_SDDV_MT521409.1_00047
OG0000012	Chlor_IIV22_HF920633.1_00175	MCV_ML1_SDDV_MT521409.1_00008
OG0000013	Chlor_IIV22_HF920633.1_00003	MCV_ML1_SDDV_MT521409.1_00064
OG0000014	Chlor_IIV22_HF920633.1_00094	MCV_ML1_SDDV_MT521409.1_00048
OG0000015	Chlor_IIV22_HF920633.1_00080	MCV_ML1_SDDV_MT521409.1_00012
OG0000016	Chlor_IIV22_HF920633.1_00001	MCV_ML1_SDDV_MT521409.1_00097
OG0000017	Chlor_IIV22_HF920633.1_00067	MCV_ML1_SDDV_MT521409.1_00039
OG0000018	Chlor_IIV22_HF920633.1_00138	MCV_ML1_SDDV_MT521409.1_00059
OG0000019	Chlor_IIV22_HF920633.1_00118	MCV_ML1_SDDV_MT521409.1_00129
OG0000020	Chlor_IIV22_HF920633.1_00058	MCV_ML1_SDDV_MT521409.1_00134
OG0000021	Chlor_IIV22_HF920633.1_00158	MCV_ML1_SDDV_MT521409.1_00011
OG0000022	Chlor_IIV22_HF920633.1_00097	MCV_ML1_SDDV_MT521409.1_00125
OG0000023	Chlor_IIV22_HF920633.1_00017	MCV_ML1_SDDV_MT521409.1_00024
OG0000024	Chlor_IIV22_HF920633.1_00062	MCV_ML1_SDDV_MT521409.1_00074
OG0000025	Chlor_IIV22_HF920633.1_00047	MCV_ML1_SDDV_MT521409.1_00114
OG0000139	Chlor_IIV22_HF920633.1_00156	MCV_ML1_SDDV_MT521409.1_00070
