Orthogroup	Chlor_IIV22_HF920633.1	Lymph_LDV1_L63545.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Lymph_LDV1_L63545.1_00007
OG0000001	Chlor_IIV22_HF920633.1_00073	Lymph_LDV1_L63545.1_00079
OG0000002	Chlor_IIV22_HF920633.1_00069	Lymph_LDV1_L63545.1_00035
OG0000003	Chlor_IIV22_HF920633.1_00127	Lymph_LDV1_L63545.1_00076
OG0000004	Chlor_IIV22_HF920633.1_00079	Lymph_LDV1_L63545.1_00001
OG0000005	Chlor_IIV22_HF920633.1_00091	Lymph_LDV1_L63545.1_00090
OG0000006	Chlor_IIV22_HF920633.1_00043	Lymph_LDV1_L63545.1_00108
OG0000007	Chlor_IIV22_HF920633.1_00025	Lymph_LDV1_L63545.1_00093
OG0000008	Chlor_IIV22_HF920633.1_00122	Lymph_LDV1_L63545.1_00024
OG0000009	Chlor_IIV22_HF920633.1_00085	Lymph_LDV1_L63545.1_00056
OG0000011	Chlor_IIV22_HF920633.1_00163	Lymph_LDV1_L63545.1_00009
OG0000012	Chlor_IIV22_HF920633.1_00175	Lymph_LDV1_L63545.1_00013
OG0000013	Chlor_IIV22_HF920633.1_00003	Lymph_LDV1_L63545.1_00068
OG0000014	Chlor_IIV22_HF920633.1_00094	Lymph_LDV1_L63545.1_00073
OG0000015	Chlor_IIV22_HF920633.1_00080	Lymph_LDV1_L63545.1_00098
OG0000016	Chlor_IIV22_HF920633.1_00001	Lymph_LDV1_L63545.1_00071
OG0000017	Chlor_IIV22_HF920633.1_00067	Lymph_LDV1_L63545.1_00004
OG0000018	Chlor_IIV22_HF920633.1_00138	Lymph_LDV1_L63545.1_00030
OG0000019	Chlor_IIV22_HF920633.1_00118	Lymph_LDV1_L63545.1_00069
OG0000020	Chlor_IIV22_HF920633.1_00058	Lymph_LDV1_L63545.1_00110
OG0000021	Chlor_IIV22_HF920633.1_00158	Lymph_LDV1_L63545.1_00072
OG0000022	Chlor_IIV22_HF920633.1_00097	Lymph_LDV1_L63545.1_00043
OG0000023	Chlor_IIV22_HF920633.1_00017	Lymph_LDV1_L63545.1_00054
OG0000024	Chlor_IIV22_HF920633.1_00062	Lymph_LDV1_L63545.1_00015
OG0000113	Chlor_IIV22_HF920633.1_00086	Lymph_LDV1_L63545.1_00042
OG0000113	Chlor_IIV22_HF920633.1_00145	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050
OG0000133	Chlor_IIV22_HF920633.1_00064	Lymph_LDV1_L63545.1_00016
OG0000134	Chlor_IIV22_HF920633.1_00135	Lymph_LDV1_L63545.1_00092
OG0000137	Chlor_IIV22_HF920633.1_00132	Lymph_LDV1_L63545.1_00100
OG0000138	Chlor_IIV22_HF920633.1_00053	Lymph_LDV1_L63545.1_00023
OG0000152	Chlor_IIV22_HF920633.1_00024	Lymph_LDV1_L63545.1_00018
OG0000154	Chlor_IIV22_HF920633.1_00036	Lymph_LDV1_L63545.1_00012
OG0000165	Chlor_IIV22_HF920633.1_00034	Lymph_LDV1_L63545.1_00048
OG0000166	Chlor_IIV22_HF920633.1_00171	Lymph_LDV1_L63545.1_00066
OG0000198	Chlor_IIV22_HF920633.1_00139	Lymph_LDV1_L63545.1_00105
