Orthogroup	Chlor_IIV22_HF920633.1	Irido_IIV6_AF303741.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Chlor_IIV22_HF920633.1_00073	Irido_IIV6_AF303741.1_00125
OG0000002	Chlor_IIV22_HF920633.1_00069	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Chlor_IIV22_HF920633.1_00127	Irido_IIV6_AF303741.1_00035
OG0000004	Chlor_IIV22_HF920633.1_00079	Irido_IIV6_AF303741.1_00080
OG0000005	Chlor_IIV22_HF920633.1_00091	Irido_IIV6_AF303741.1_00149
OG0000006	Chlor_IIV22_HF920633.1_00043	Irido_IIV6_AF303741.1_00165
OG0000007	Chlor_IIV22_HF920633.1_00025	Irido_IIV6_AF303741.1_00132
OG0000008	Chlor_IIV22_HF920633.1_00122	Irido_IIV6_AF303741.1_00176
OG0000009	Chlor_IIV22_HF920633.1_00085	Irido_IIV6_AF303741.1_00129
OG0000011	Chlor_IIV22_HF920633.1_00163	Irido_IIV6_AF303741.1_00137
OG0000012	Chlor_IIV22_HF920633.1_00175	Irido_IIV6_AF303741.1_00189
OG0000013	Chlor_IIV22_HF920633.1_00003	Irido_IIV6_AF303741.1_00081
OG0000014	Chlor_IIV22_HF920633.1_00094	Irido_IIV6_AF303741.1_00062
OG0000015	Chlor_IIV22_HF920633.1_00080	Irido_IIV6_AF303741.1_00156
OG0000016	Chlor_IIV22_HF920633.1_00001	Irido_IIV6_AF303741.1_00011
OG0000017	Chlor_IIV22_HF920633.1_00067	Irido_IIV6_AF303741.1_00023
OG0000018	Chlor_IIV22_HF920633.1_00138	Irido_IIV6_AF303741.1_00026
OG0000019	Chlor_IIV22_HF920633.1_00118	Irido_IIV6_AF303741.1_00006
OG0000020	Chlor_IIV22_HF920633.1_00058	Irido_IIV6_AF303741.1_00046
OG0000021	Chlor_IIV22_HF920633.1_00158	Irido_IIV6_AF303741.1_00063
OG0000022	Chlor_IIV22_HF920633.1_00097	Irido_IIV6_AF303741.1_00158
OG0000023	Chlor_IIV22_HF920633.1_00017	Irido_IIV6_AF303741.1_00154
OG0000024	Chlor_IIV22_HF920633.1_00062	Irido_IIV6_AF303741.1_00168
OG0000025	Chlor_IIV22_HF920633.1_00047	Irido_IIV6_AF303741.1_00051
OG0000113	Chlor_IIV22_HF920633.1_00086	Irido_IIV6_AF303741.1_00170
OG0000113	Chlor_IIV22_HF920633.1_00145	Irido_IIV6_AF303741.1_00169
OG0000119	Chlor_IIV22_HF920633.1_00040, Chlor_IIV22_HF920633.1_00117, Chlor_IIV22_HF920633.1_00143, Chlor_IIV22_HF920633.1_00057, Chlor_IIV22_HF920633.1_00107, Chlor_IIV22_HF920633.1_00172, Chlor_IIV22_HF920633.1_00170	Irido_IIV6_AF303741.1_00007, Irido_IIV6_AF303741.1_00066, Irido_IIV6_AF303741.1_00173, Irido_IIV6_AF303741.1_00095, Irido_IIV6_AF303741.1_00094, Irido_IIV6_AF303741.1_00109
OG0000122	Chlor_IIV22_HF920633.1_00116	Irido_IIV6_AF303741.1_00005, Irido_IIV6_AF303741.1_00065
OG0000123	Chlor_IIV22_HF920633.1_00007, Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174	Irido_IIV6_AF303741.1_00195
OG0000123	Chlor_IIV22_HF920633.1_00147	Irido_IIV6_AF303741.1_00178, Irido_IIV6_AF303741.1_00121
OG0000126	Chlor_IIV22_HF920633.1_00059, Chlor_IIV22_HF920633.1_00119, Chlor_IIV22_HF920633.1_00081	Irido_IIV6_AF303741.1_00088
OG0000133	Chlor_IIV22_HF920633.1_00064	Irido_IIV6_AF303741.1_00157
OG0000134	Chlor_IIV22_HF920633.1_00135	Irido_IIV6_AF303741.1_00126
