Orthogroup	Chlor_IIV22_HF920633.1	Rana_FV3_NC_005946.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Rana_FV3_NC_005946.1_00010
OG0000001	Chlor_IIV22_HF920633.1_00073	Rana_FV3_NC_005946.1_00091
OG0000002	Chlor_IIV22_HF920633.1_00069	Rana_FV3_NC_005946.1_00053
OG0000003	Chlor_IIV22_HF920633.1_00127	Rana_FV3_NC_005946.1_00057
OG0000004	Chlor_IIV22_HF920633.1_00079	Rana_FV3_NC_005946.1_00028
OG0000005	Chlor_IIV22_HF920633.1_00091	Rana_FV3_NC_005946.1_00002
OG0000006	Chlor_IIV22_HF920633.1_00043	Rana_FV3_NC_005946.1_00095
OG0000007	Chlor_IIV22_HF920633.1_00025	Rana_FV3_NC_005946.1_00042
OG0000008	Chlor_IIV22_HF920633.1_00122	Rana_FV3_NC_005946.1_00092
OG0000009	Chlor_IIV22_HF920633.1_00085	Rana_FV3_NC_005946.1_00014
OG0000011	Chlor_IIV22_HF920633.1_00163	Rana_FV3_NC_005946.1_00094
OG0000012	Chlor_IIV22_HF920633.1_00175	Rana_FV3_NC_005946.1_00061
OG0000013	Chlor_IIV22_HF920633.1_00003	Rana_FV3_NC_005946.1_00023
OG0000014	Chlor_IIV22_HF920633.1_00094	Rana_FV3_NC_005946.1_00082
OG0000015	Chlor_IIV22_HF920633.1_00080	Rana_FV3_NC_005946.1_00083
OG0000016	Chlor_IIV22_HF920633.1_00001	Rana_FV3_NC_005946.1_00060
OG0000017	Chlor_IIV22_HF920633.1_00067	Rana_FV3_NC_005946.1_00022
OG0000018	Chlor_IIV22_HF920633.1_00138	Rana_FV3_NC_005946.1_00016
OG0000019	Chlor_IIV22_HF920633.1_00118	Rana_FV3_NC_005946.1_00011
OG0000020	Chlor_IIV22_HF920633.1_00058	Rana_FV3_NC_005946.1_00021
OG0000021	Chlor_IIV22_HF920633.1_00158	Rana_FV3_NC_005946.1_00087
OG0000022	Chlor_IIV22_HF920633.1_00097	Rana_FV3_NC_005946.1_00038
OG0000023	Chlor_IIV22_HF920633.1_00017	Rana_FV3_NC_005946.1_00089
OG0000024	Chlor_IIV22_HF920633.1_00062	Rana_FV3_NC_005946.1_00067
OG0000113	Chlor_IIV22_HF920633.1_00086	Rana_FV3_NC_005946.1_00020
OG0000133	Chlor_IIV22_HF920633.1_00064	Rana_FV3_NC_005946.1_00079
OG0000134	Chlor_IIV22_HF920633.1_00135	Rana_FV3_NC_005946.1_00001
OG0000137	Chlor_IIV22_HF920633.1_00132	Rana_FV3_NC_005946.1_00039
OG0000148	Chlor_IIV22_HF920633.1_00026	Rana_FV3_NC_005946.1_00054
OG0000152	Chlor_IIV22_HF920633.1_00024	Rana_FV3_NC_005946.1_00044
OG0000156	Chlor_IIV22_HF920633.1_00106	Rana_FV3_NC_005946.1_00063
OG0000165	Chlor_IIV22_HF920633.1_00034	Rana_FV3_NC_005946.1_00029
OG0000166	Chlor_IIV22_HF920633.1_00171	Rana_FV3_NC_005946.1_00026
OG0000168	Chlor_IIV22_HF920633.1_00144	Rana_FV3_NC_005946.1_00004
