Orthogroup	Chlor_IIV22_HF920633.1	MCV_MP1_BCFI_MN432490.1
OG0000000	Chlor_IIV22_HF920633.1_00044	MCV_MP1_BCFI_MN432490.1_00032
OG0000001	Chlor_IIV22_HF920633.1_00073	MCV_MP1_BCFI_MN432490.1_00007
OG0000002	Chlor_IIV22_HF920633.1_00069	MCV_MP1_BCFI_MN432490.1_00008
OG0000003	Chlor_IIV22_HF920633.1_00127	MCV_MP1_BCFI_MN432490.1_00015
OG0000004	Chlor_IIV22_HF920633.1_00079	MCV_MP1_BCFI_MN432490.1_00113
OG0000005	Chlor_IIV22_HF920633.1_00091	MCV_MP1_BCFI_MN432490.1_00092
OG0000006	Chlor_IIV22_HF920633.1_00043	MCV_MP1_BCFI_MN432490.1_00031
OG0000007	Chlor_IIV22_HF920633.1_00025	MCV_MP1_BCFI_MN432490.1_00078
OG0000008	Chlor_IIV22_HF920633.1_00122	MCV_MP1_BCFI_MN432490.1_00114
OG0000009	Chlor_IIV22_HF920633.1_00085	MCV_MP1_BCFI_MN432490.1_00097
OG0000011	Chlor_IIV22_HF920633.1_00163	MCV_MP1_BCFI_MN432490.1_00088
OG0000012	Chlor_IIV22_HF920633.1_00175	MCV_MP1_BCFI_MN432490.1_00037
OG0000013	Chlor_IIV22_HF920633.1_00003	MCV_MP1_BCFI_MN432490.1_00108
OG0000014	Chlor_IIV22_HF920633.1_00094	MCV_MP1_BCFI_MN432490.1_00089
OG0000015	Chlor_IIV22_HF920633.1_00080	MCV_MP1_BCFI_MN432490.1_00033
OG0000016	Chlor_IIV22_HF920633.1_00001	MCV_MP1_BCFI_MN432490.1_00023
OG0000017	Chlor_IIV22_HF920633.1_00067	MCV_MP1_BCFI_MN432490.1_00058
OG0000018	Chlor_IIV22_HF920633.1_00138	MCV_MP1_BCFI_MN432490.1_00122
OG0000019	Chlor_IIV22_HF920633.1_00118	MCV_MP1_BCFI_MN432490.1_00064
OG0000020	Chlor_IIV22_HF920633.1_00058	MCV_MP1_BCFI_MN432490.1_00123
OG0000021	Chlor_IIV22_HF920633.1_00158	MCV_MP1_BCFI_MN432490.1_00035
OG0000022	Chlor_IIV22_HF920633.1_00097	MCV_MP1_BCFI_MN432490.1_00005
OG0000023	Chlor_IIV22_HF920633.1_00017	MCV_MP1_BCFI_MN432490.1_00046
OG0000024	Chlor_IIV22_HF920633.1_00062	MCV_MP1_BCFI_MN432490.1_00028
OG0000025	Chlor_IIV22_HF920633.1_00047	MCV_MP1_BCFI_MN432490.1_00065
