Orthogroup	OL774655.1	NC_005946.1
OG0000000	OL774655.1_00034	NC_005946.1_00010
OG0000001	OL774655.1_00008	NC_005946.1_00053
OG0000002	OL774655.1_00007	NC_005946.1_00091
OG0000003	OL774655.1_00015	NC_005946.1_00057
OG0000004	OL774655.1_00113	NC_005946.1_00028
OG0000005	OL774655.1_00096	NC_005946.1_00014
OG0000006	OL774655.1_00078	NC_005946.1_00042
OG0000007	OL774655.1_00091	NC_005946.1_00002
OG0000008	OL774655.1_00033	NC_005946.1_00095
OG0000009	OL774655.1_00115	NC_005946.1_00092
OG0000011	OL774655.1_00066	NC_005946.1_00011
OG0000012	OL774655.1_00022	NC_005946.1_00060
OG0000013	OL774655.1_00060	NC_005946.1_00022
OG0000014	OL774655.1_00123	NC_005946.1_00016
OG0000015	OL774655.1_00124	NC_005946.1_00021
OG0000016	OL774655.1_00088	NC_005946.1_00082
OG0000017	OL774655.1_00037	NC_005946.1_00087
OG0000018	OL774655.1_00108	NC_005946.1_00023
OG0000019	OL774655.1_00087	NC_005946.1_00094
OG0000020	OL774655.1_00035	NC_005946.1_00083
OG0000021	OL774655.1_00005	NC_005946.1_00038
OG0000022	OL774655.1_00039	NC_005946.1_00061
OG0000023	OL774655.1_00048	NC_005946.1_00089
OG0000024	OL774655.1_00030	NC_005946.1_00067
OG0000026	OL774655.1_00111	NC_005946.1_00086
OG0000027	OL774655.1_00089	NC_005946.1_00049
OG0000028	OL774655.1_00051	NC_005946.1_00085
OG0000112	OL774655.1_00081	NC_005946.1_00006
