Orthogroup	MK098186.1	OL774653.1
OG0000000	MK098186.1_00030	OL774653.1_00051
OG0000001	MK098186.1_00007	OL774653.1_00025
OG0000002	MK098186.1_00074	OL774653.1_00095
OG0000003	MK098186.1_00008	OL774653.1_00026
OG0000004	MK098186.1_00015	OL774653.1_00032
OG0000005	MK098186.1_00029	OL774653.1_00050
OG0000006	MK098186.1_00073	OL774653.1_00094
OG0000007	MK098186.1_00087	OL774653.1_00108
OG0000008	MK098186.1_00109	OL774653.1_00006
OG0000009	MK098186.1_00111	OL774653.1_00008
OG0000010	MK098186.1_00005	OL774653.1_00023
OG0000011	MK098186.1_00022	OL774653.1_00039
OG0000012	MK098186.1_00031	OL774653.1_00052
OG0000013	MK098186.1_00033	OL774653.1_00054
OG0000014	MK098186.1_00035	OL774653.1_00056
OG0000015	MK098186.1_00055	OL774653.1_00076
OG0000016	MK098186.1_00061	OL774653.1_00082
OG0000017	MK098186.1_00083	OL774653.1_00104
OG0000018	MK098186.1_00084	OL774653.1_00105
OG0000019	MK098186.1_00104	OL774653.1_00001
OG0000020	MK098186.1_00119	OL774653.1_00016
OG0000021	MK098186.1_00120	OL774653.1_00017
OG0000022	MK098186.1_00044	OL774653.1_00065
OG0000023	MK098186.1_00092	OL774653.1_00114
OG0000024	MK098186.1_00107	OL774653.1_00004
OG0000025	MK098186.1_00062	OL774653.1_00083
OG0000026	MK098186.1_00085	OL774653.1_00106
OG0000027	MK098186.1_00047	OL774653.1_00068
OG0000028	MK098186.1_00006	OL774653.1_00024
OG0000029	MK098186.1_00059	OL774653.1_00080
OG0000030	MK098186.1_00001	OL774653.1_00019
OG0000032	MK098186.1_00086	OL774653.1_00107
OG0000033	MK098186.1_00121	OL774653.1_00018
OG0000034	MK098186.1_00013	OL774653.1_00030
OG0000035	MK098186.1_00014	OL774653.1_00031
OG0000036	MK098186.1_00019	OL774653.1_00036
OG0000037	MK098186.1_00020	OL774653.1_00037
OG0000038	MK098186.1_00023	OL774653.1_00040
OG0000039	MK098186.1_00024	OL774653.1_00041
OG0000040	MK098186.1_00032	OL774653.1_00053
OG0000041	MK098186.1_00036	OL774653.1_00057
OG0000042	MK098186.1_00048	OL774653.1_00069
OG0000043	MK098186.1_00049	OL774653.1_00070
OG0000044	MK098186.1_00053	OL774653.1_00074
OG0000045	MK098186.1_00054	OL774653.1_00075
OG0000046	MK098186.1_00056	OL774653.1_00077
OG0000047	MK098186.1_00057	OL774653.1_00078
OG0000048	MK098186.1_00058	OL774653.1_00079
OG0000049	MK098186.1_00075	OL774653.1_00096
OG0000050	MK098186.1_00079	OL774653.1_00100
OG0000051	MK098186.1_00080	OL774653.1_00101
OG0000052	MK098186.1_00091	OL774653.1_00113
OG0000053	MK098186.1_00093	OL774653.1_00115
OG0000054	MK098186.1_00096	OL774653.1_00118
OG0000055	MK098186.1_00108	OL774653.1_00005
OG0000056	MK098186.1_00113	OL774653.1_00010
OG0000057	MK098186.1_00115	OL774653.1_00012
OG0000058	MK098186.1_00002	OL774653.1_00020
OG0000059	MK098186.1_00010	OL774653.1_00028
OG0000060	MK098186.1_00018	OL774653.1_00035
OG0000061	MK098186.1_00088	OL774653.1_00109
OG0000062	MK098186.1_00026	OL774653.1_00047
OG0000063	MK098186.1_00070	OL774653.1_00091
OG0000064	MK098186.1_00017	OL774653.1_00034
OG0000065	MK098186.1_00038	OL774653.1_00059
OG0000066	MK098186.1_00042	OL774653.1_00063
OG0000067	MK098186.1_00046	OL774653.1_00067
OG0000068	MK098186.1_00065	OL774653.1_00086
OG0000069	MK098186.1_00095	OL774653.1_00117
OG0000070	MK098186.1_00097	OL774653.1_00119
OG0000071	MK098186.1_00112	OL774653.1_00009
OG0000072	MK098186.1_00009	OL774653.1_00027
OG0000073	MK098186.1_00012	OL774653.1_00029
OG0000074	MK098186.1_00016	OL774653.1_00033
OG0000075	MK098186.1_00034	OL774653.1_00055
OG0000076	MK098186.1_00037	OL774653.1_00058
OG0000077	MK098186.1_00040	OL774653.1_00061
OG0000078	MK098186.1_00041	OL774653.1_00062
OG0000079	MK098186.1_00045	OL774653.1_00066
OG0000080	MK098186.1_00050	OL774653.1_00071
OG0000081	MK098186.1_00051	OL774653.1_00072
OG0000082	MK098186.1_00052	OL774653.1_00073
OG0000083	MK098186.1_00060	OL774653.1_00081
OG0000084	MK098186.1_00063	OL774653.1_00084
OG0000085	MK098186.1_00066	OL774653.1_00087
OG0000086	MK098186.1_00067	OL774653.1_00088
OG0000087	MK098186.1_00071	OL774653.1_00092
OG0000088	MK098186.1_00072	OL774653.1_00093
OG0000089	MK098186.1_00081	OL774653.1_00102
OG0000090	MK098186.1_00082	OL774653.1_00103
OG0000091	MK098186.1_00094	OL774653.1_00116
OG0000092	MK098186.1_00098	OL774653.1_00120
OG0000093	MK098186.1_00102	OL774653.1_00124
OG0000094	MK098186.1_00105	OL774653.1_00002
OG0000095	MK098186.1_00106	OL774653.1_00003
OG0000096	MK098186.1_00117	OL774653.1_00014
OG0000097	MK098186.1_00003	OL774653.1_00021
OG0000098	MK098186.1_00004	OL774653.1_00022
OG0000099	MK098186.1_00039	OL774653.1_00060
OG0000100	MK098186.1_00043	OL774653.1_00064
OG0000101	MK098186.1_00068	OL774653.1_00089
OG0000102	MK098186.1_00076	OL774653.1_00097
OG0000103	MK098186.1_00099	OL774653.1_00121
OG0000105	MK098186.1_00114	OL774653.1_00011
OG0000106	MK098186.1_00028	OL774653.1_00049
OG0000107	MK098186.1_00100	OL774653.1_00122
OG0000108	MK098186.1_00118	OL774653.1_00015
OG0000109	MK098186.1_00069	OL774653.1_00090
OG0000110	MK098186.1_00116	OL774653.1_00013
OG0000111	MK098186.1_00090	OL774653.1_00112
OG0000112	MK098186.1_00077	OL774653.1_00098
OG0000113	MK098186.1_00021	OL774653.1_00038
OG0000116	MK098186.1_00064	OL774653.1_00085
OG0000118	MK098186.1_00101	OL774653.1_00123
OG0000119	MK098186.1_00110	OL774653.1_00007
OG0000124	MK098186.1_00027	OL774653.1_00048
