Orthogroup	HF920633	MG570131
OG0000000	HF920633.1_00044 hypothetical protein	MG570131.1_00031 hypothetical protein
OG0000001	HF920633.1_00069 hypothetical protein	MG570131.1_00009 hypothetical protein
OG0000002	HF920633.1_00127 hypothetical protein	MG570131.1_00016 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	MG570131.1_00030 hypothetical protein
OG0000004	HF920633.1_00122 hypothetical protein	MG570131.1_00110 hypothetical protein
OG0000005	HF920633.1_00097 hypothetical protein	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase
OG0000006	HF920633.1_00073 Major capsid protein	MG570131.1_00008 Major capsid protein
OG0000007	HF920633.1_00001 hypothetical protein	MG570131.1_00023 hypothetical protein
OG0000008	HF920633.1_00080 hypothetical protein	MG570131.1_00032 hypothetical protein
OG0000009	HF920633.1_00158 hypothetical protein	MG570131.1_00034 hypothetical protein
OG0000010	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	MG570131.1_00036 DNA-directed RNA polymerase subunit 2
OG0000011	HF920633.1_00067 hypothetical protein	MG570131.1_00057 hypothetical protein
OG0000012	HF920633.1_00118 hypothetical protein	MG570131.1_00063 hypothetical protein
OG0000013	HF920633.1_00163 hypothetical protein	MG570131.1_00083 hypothetical protein
OG0000014	HF920633.1_00091 hypothetical protein	MG570131.1_00087 hypothetical protein
OG0000015	HF920633.1_00003 hypothetical protein	MG570131.1_00103 hypothetical protein
OG0000016	HF920633.1_00138 hypothetical protein	MG570131.1_00118 hypothetical protein
OG0000017	HF920633.1_00058 hypothetical protein	MG570131.1_00119 hypothetical protein
OG0000018	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	HF920633.1_00025 hypothetical protein	MG570131.1_00073 hypothetical protein
OG0000020	HF920633.1_00094 hypothetical protein	MG570131.1_00084 hypothetical protein
OG0000021	HF920633.1_00085 hypothetical protein	MG570131.1_00092 hypothetical protein
OG0000022	HF920633.1_00079 hypothetical protein	MG570131.1_00108 hypothetical protein
OG0000023	HF920633.1_00017 hypothetical protein	MG570131.1_00045 hypothetical protein
OG0000025	HF920633.1_00047 hypothetical protein	MG570131.1_00064 hypothetical protein
