Orthogroup	OK042108.1	L63545.1
OG0000000	OK042108.1_00047	L63545.1_00007
OG0000001	OK042108.1_00069	L63545.1_00079
OG0000003	OK042108.1_00068	L63545.1_00035
OG0000004	OK042108.1_00062	L63545.1_00076
OG0000005	OK042108.1_00048	L63545.1_00108
OG0000006	OK042108.1_00001	L63545.1_00093
OG0000007	OK042108.1_00109	L63545.1_00090
OG0000008	OK042108.1_00087	L63545.1_00001
OG0000009	OK042108.1_00085	L63545.1_00024
OG0000010	OK042108.1_00070	L63545.1_00043
OG0000011	OK042108.1_00055	L63545.1_00071
OG0000012	OK042108.1_00046	L63545.1_00098
OG0000013	OK042108.1_00044	L63545.1_00072
OG0000014	OK042108.1_00042	L63545.1_00013
OG0000015	OK042108.1_00020	L63545.1_00004
OG0000016	OK042108.1_00013	L63545.1_00069
OG0000017	OK042108.1_00113	L63545.1_00009
OG0000018	OK042108.1_00112	L63545.1_00073
OG0000019	OK042108.1_00092	L63545.1_00068
OG0000020	OK042108.1_00077	L63545.1_00030
OG0000021	OK042108.1_00076	L63545.1_00110
OG0000022	OK042108.1_00033	L63545.1_00054
OG0000023	OK042108.1_00104	L63545.1_00056
OG0000024	OK042108.1_00089	L63545.1_00002
OG0000026	OK042108.1_00111	L63545.1_00058
OG0000027	OK042108.1_00030	L63545.1_00003
