Orthogroup	OK042108.1	KF938901.1
OG0000000	OK042108.1_00047	KF938901.1_00126
OG0000001	OK042108.1_00069	KF938901.1_00044
OG0000003	OK042108.1_00068	KF938901.1_00080
OG0000004	OK042108.1_00062	KF938901.1_00005
OG0000005	OK042108.1_00048	KF938901.1_00067
OG0000006	OK042108.1_00001	KF938901.1_00072
OG0000007	OK042108.1_00109	KF938901.1_00053
OG0000008	OK042108.1_00087	KF938901.1_00043
OG0000009	OK042108.1_00085	KF938901.1_00114
OG0000010	OK042108.1_00070	KF938901.1_00124
OG0000011	OK042108.1_00055	KF938901.1_00054
OG0000012	OK042108.1_00046	KF938901.1_00047
OG0000013	OK042108.1_00044	KF938901.1_00123
OG0000014	OK042108.1_00042	KF938901.1_00023
OG0000015	OK042108.1_00020	KF938901.1_00060
OG0000016	OK042108.1_00013	KF938901.1_00092
OG0000017	OK042108.1_00113	KF938901.1_00012
OG0000018	OK042108.1_00112	KF938901.1_00046
OG0000019	OK042108.1_00092	KF938901.1_00025
OG0000020	OK042108.1_00077	KF938901.1_00074
OG0000021	OK042108.1_00076	KF938901.1_00095
OG0000022	OK042108.1_00033	KF938901.1_00031
OG0000025	OK042108.1_00012	KF938901.1_00093
