Orthogroup	MF599468.1	OL774655.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OL774655.1_00034
OG0000001	MF599468.1_00152	OL774655.1_00007
OG0000003	MF599468.1_00163	OL774655.1_00008
OG0000004	MF599468.1_00011	OL774655.1_00015
OG0000005	MF599468.1_00030	OL774655.1_00033
OG0000006	MF599468.1_00010	OL774655.1_00078
OG0000007	MF599468.1_00174	OL774655.1_00091
OG0000008	MF599468.1_00092	OL774655.1_00113
OG0000009	MF599468.1_00075	OL774655.1_00115
OG0000010	MF599468.1_00116	OL774655.1_00005
OG0000011	MF599468.1_00112	OL774655.1_00022
OG0000012	MF599468.1_00090	OL774655.1_00035
OG0000013	MF599468.1_00035	OL774655.1_00037
OG0000014	MF599468.1_00071	OL774655.1_00039
OG0000015	MF599468.1_00033	OL774655.1_00060
OG0000016	MF599468.1_00149	OL774655.1_00066
OG0000017	MF599468.1_00106	OL774655.1_00087
OG0000018	MF599468.1_00046	OL774655.1_00088
OG0000019	MF599468.1_00117	OL774655.1_00108
OG0000020	MF599468.1_00122	OL774655.1_00123
OG0000021	MF599468.1_00009	OL774655.1_00124
OG0000022	MF599468.1_00171	OL774655.1_00048
OG0000023	MF599468.1_00154	OL774655.1_00096
OG0000024	MF599468.1_00039	OL774655.1_00111
OG0000046	MF599468.1_00013	OL774655.1_00061
OG0000069	MF599468.1_00131	OL774655.1_00099
