Orthogroup	MF599468.1	AY779031.1
OG0000000	MF599468.1_00057, MF599468.1_00056	AY779031.1_00034
OG0000001	MF599468.1_00152	AY779031.1_00007
OG0000003	MF599468.1_00163	AY779031.1_00008
OG0000004	MF599468.1_00011	AY779031.1_00015, AY779031.1_00016
OG0000005	MF599468.1_00030	AY779031.1_00033
OG0000006	MF599468.1_00010	AY779031.1_00083
OG0000007	MF599468.1_00174	AY779031.1_00098
OG0000008	MF599468.1_00092	AY779031.1_00121
OG0000009	MF599468.1_00075	AY779031.1_00122
OG0000010	MF599468.1_00116	AY779031.1_00005
OG0000011	MF599468.1_00112	AY779031.1_00023
OG0000012	MF599468.1_00090	AY779031.1_00035
OG0000013	MF599468.1_00035	AY779031.1_00037
OG0000014	MF599468.1_00071	AY779031.1_00039
OG0000015	MF599468.1_00033	AY779031.1_00061
OG0000016	MF599468.1_00149	AY779031.1_00068
OG0000017	MF599468.1_00106	AY779031.1_00094
OG0000018	MF599468.1_00046	AY779031.1_00095
OG0000019	MF599468.1_00117	AY779031.1_00116
OG0000020	MF599468.1_00122	AY779031.1_00129
OG0000021	MF599468.1_00009	AY779031.1_00130
OG0000022	MF599468.1_00171	AY779031.1_00049
OG0000023	MF599468.1_00154	AY779031.1_00103
OG0000024	MF599468.1_00039	AY779031.1_00119
OG0000046	MF599468.1_00013	AY779031.1_00062
OG0000069	MF599468.1_00131	AY779031.1_00106
