Orthogroup	MF599468.1	L63545.1
OG0000000	MF599468.1_00057, MF599468.1_00056	L63545.1_00007
OG0000001	MF599468.1_00152	L63545.1_00079
OG0000003	MF599468.1_00163	L63545.1_00035
OG0000004	MF599468.1_00011	L63545.1_00076
OG0000005	MF599468.1_00030	L63545.1_00108
OG0000006	MF599468.1_00010	L63545.1_00093
OG0000007	MF599468.1_00174	L63545.1_00090
OG0000008	MF599468.1_00092	L63545.1_00001
OG0000009	MF599468.1_00075	L63545.1_00024
OG0000010	MF599468.1_00116	L63545.1_00043
OG0000011	MF599468.1_00112	L63545.1_00071
OG0000012	MF599468.1_00090	L63545.1_00098
OG0000013	MF599468.1_00035	L63545.1_00072
OG0000014	MF599468.1_00071	L63545.1_00013
OG0000015	MF599468.1_00033	L63545.1_00004
OG0000016	MF599468.1_00149	L63545.1_00069
OG0000017	MF599468.1_00106	L63545.1_00009
OG0000018	MF599468.1_00046	L63545.1_00073
OG0000019	MF599468.1_00117	L63545.1_00068
OG0000020	MF599468.1_00122	L63545.1_00030
OG0000021	MF599468.1_00009	L63545.1_00110
OG0000022	MF599468.1_00171	L63545.1_00054
OG0000023	MF599468.1_00154	L63545.1_00056
OG0000024	MF599468.1_00039	L63545.1_00002
OG0000120	MF599468.1_00096	L63545.1_00005
OG0000120	MF599468.1_00036	L63545.1_00051
OG0000137	MF599468.1_00002	L63545.1_00092
OG0000138	MF599468.1_00027	L63545.1_00016
OG0000151	MF599468.1_00060	L63545.1_00018
OG0000153	MF599468.1_00156, MF599468.1_00066	L63545.1_00055
OG0000155	MF599468.1_00051	L63545.1_00023
OG0000160	MF599468.1_00089, MF599468.1_00108	L63545.1_00091
OG0000167	MF599468.1_00074	L63545.1_00012
OG0000171	MF599468.1_00006	L63545.1_00106
OG0000194	MF599468.1_00062	L63545.1_00082
