Orthogroup	MF599468.1	KF938901.1
OG0000000	MF599468.1_00057, MF599468.1_00056	KF938901.1_00126
OG0000001	MF599468.1_00152	KF938901.1_00044
OG0000003	MF599468.1_00163	KF938901.1_00080
OG0000004	MF599468.1_00011	KF938901.1_00005
OG0000005	MF599468.1_00030	KF938901.1_00067
OG0000006	MF599468.1_00010	KF938901.1_00072
OG0000007	MF599468.1_00174	KF938901.1_00053
OG0000008	MF599468.1_00092	KF938901.1_00043
OG0000009	MF599468.1_00075	KF938901.1_00114
OG0000010	MF599468.1_00116	KF938901.1_00124
OG0000011	MF599468.1_00112	KF938901.1_00054
OG0000012	MF599468.1_00090	KF938901.1_00047
OG0000013	MF599468.1_00035	KF938901.1_00123
OG0000014	MF599468.1_00071	KF938901.1_00023
OG0000015	MF599468.1_00033	KF938901.1_00060
OG0000016	MF599468.1_00149	KF938901.1_00092
OG0000017	MF599468.1_00106	KF938901.1_00012
OG0000018	MF599468.1_00046	KF938901.1_00046
OG0000019	MF599468.1_00117	KF938901.1_00025
OG0000020	MF599468.1_00122	KF938901.1_00074
OG0000021	MF599468.1_00009	KF938901.1_00095
OG0000022	MF599468.1_00171	KF938901.1_00031
OG0000121	MF599468.1_00100, MF599468.1_00114	KF938901.1_00085, KF938901.1_00140
OG0000137	MF599468.1_00002	KF938901.1_00086
OG0000138	MF599468.1_00027	KF938901.1_00007
OG0000151	MF599468.1_00060	KF938901.1_00027
OG0000154	MF599468.1_00161	KF938901.1_00069
OG0000155	MF599468.1_00051	KF938901.1_00065
OG0000161	MF599468.1_00142	KF938901.1_00118
OG0000167	MF599468.1_00074	KF938901.1_00106
OG0000177	MF599468.1_00155	KF938901.1_00150
OG0000178	MF599468.1_00162	KF938901.1_00103
OG0000181	MF599468.1_00004	KF938901.1_00117
OG0000182	MF599468.1_00141	KF938901.1_00102
OG0000184	MF599468.1_00045	KF938901.1_00104
OG0000185	MF599468.1_00067	KF938901.1_00128
OG0000186	MF599468.1_00105	KF938901.1_00121
OG0000201	MF599468.1_00043	KF938901.1_00152
OG0000203	MF599468.1_00052, MF599468.1_00061	KF938901.1_00073
OG0000208	MF599468.1_00172	KF938901.1_00070
OG0000209	MF599468.1_00025	KF938901.1_00100
OG0000210	MF599468.1_00022	KF938901.1_00133
OG0000211	MF599468.1_00015	KF938901.1_00134
OG0000213	MF599468.1_00044	KF938901.1_00146
OG0000214	MF599468.1_00125	KF938901.1_00148
OG0000215	MF599468.1_00129	KF938901.1_00116
OG0000218	MF599468.1_00079	KF938901.1_00141
OG0000219	MF599468.1_00037	KF938901.1_00014
OG0000278	MF599468.1_00081	KF938901.1_00101
