Orthogroup	MF599468.1	MT521409.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MT521409.1_00103
OG0000001	MF599468.1_00152	MT521409.1_00081
OG0000003	MF599468.1_00163	MT521409.1_00082
OG0000004	MF599468.1_00011	MT521409.1_00088
OG0000005	MF599468.1_00030	MT521409.1_00100
OG0000006	MF599468.1_00010	MT521409.1_00117
OG0000007	MF599468.1_00174	MT521409.1_00053
OG0000008	MF599468.1_00092	MT521409.1_00061
OG0000009	MF599468.1_00075	MT521409.1_00060
OG0000010	MF599468.1_00116	MT521409.1_00125
OG0000011	MF599468.1_00112	MT521409.1_00097
OG0000012	MF599468.1_00090	MT521409.1_00012
OG0000013	MF599468.1_00035	MT521409.1_00011
OG0000014	MF599468.1_00071	MT521409.1_00008
OG0000015	MF599468.1_00033	MT521409.1_00039
OG0000016	MF599468.1_00149	MT521409.1_00129
OG0000017	MF599468.1_00106	MT521409.1_00047
OG0000018	MF599468.1_00046	MT521409.1_00048
OG0000019	MF599468.1_00117	MT521409.1_00064
OG0000020	MF599468.1_00122	MT521409.1_00059
OG0000021	MF599468.1_00009	MT521409.1_00134
OG0000022	MF599468.1_00171	MT521409.1_00024
OG0000023	MF599468.1_00154	MT521409.1_00057
OG0000024	MF599468.1_00039	MT521409.1_00063
OG0000046	MF599468.1_00013	MT521409.1_00040
OG0000189	MF599468.1_00098	MT521409.1_00115
