Orthogroup	MF599468.1	BD143114.1
OG0000000	MF599468.1_00057, MF599468.1_00056	BD143114.1_00045
OG0000001	MF599468.1_00152	BD143114.1_00068
OG0000003	MF599468.1_00163	BD143114.1_00067
OG0000004	MF599468.1_00011	BD143114.1_00060
OG0000005	MF599468.1_00030	BD143114.1_00046
OG0000006	MF599468.1_00010	BD143114.1_00001
OG0000007	MF599468.1_00174	BD143114.1_00109
OG0000008	MF599468.1_00092	BD143114.1_00087
OG0000009	MF599468.1_00075	BD143114.1_00085
OG0000010	MF599468.1_00116	BD143114.1_00070
OG0000011	MF599468.1_00112	BD143114.1_00053
OG0000012	MF599468.1_00090	BD143114.1_00044
OG0000013	MF599468.1_00035	BD143114.1_00042
OG0000014	MF599468.1_00071	BD143114.1_00040
OG0000015	MF599468.1_00033	BD143114.1_00019
OG0000016	MF599468.1_00149	BD143114.1_00013
OG0000017	MF599468.1_00106	BD143114.1_00114
OG0000018	MF599468.1_00046	BD143114.1_00113
OG0000019	MF599468.1_00117	BD143114.1_00092
OG0000020	MF599468.1_00122	BD143114.1_00077
OG0000021	MF599468.1_00009	BD143114.1_00076
OG0000022	MF599468.1_00171	BD143114.1_00031
OG0000023	MF599468.1_00154	BD143114.1_00104
OG0000024	MF599468.1_00039	BD143114.1_00089
OG0000046	MF599468.1_00013	BD143114.1_00018
OG0000069	MF599468.1_00131	BD143114.1_00101
