Orthogroup	LS484712	MN803438
OG0000000	LS484712.1_00114 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	LS484712.1_00096 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000005	LS484712.1_00142 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000006	LS484712.1_00200 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000007	LS484712.1_00188 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000008	LS484712.1_00240 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000010	LS484712.1_00143 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	LS484712.1_00203 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	LS484712.1_00192 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	LS484712.1_00050 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	LS484712.1_00053 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	LS484712.1_00202 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	LS484712.1_00135 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000018	LS484712.1_00040 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000022	LS484712.1_00117 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000023	LS484712.1_00130 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000132	LS484712.1_00057 hypothetical protein	MN803438.1_00115 hypothetical protein
OG0000134	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000135	LS484712.1_00063 hypothetical protein	MN803438.1_00137 hypothetical protein
OG0000141	LS484712.1_00197 hypothetical protein	MN803438.1_00006 hypothetical protein
