Orthogroup	LS484712	HF920637
OG0000000	LS484712.1_00114 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	LS484712.1_00095 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	LS484712.1_00187 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	LS484712.1_00248 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	LS484712.1_00130 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000005	LS484712.1_00096 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	LS484712.1_00142 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	LS484712.1_00200 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	LS484712.1_00188 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	LS484712.1_00240 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000010	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	LS484712.1_00143 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000012	LS484712.1_00203 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000013	LS484712.1_00192 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000014	LS484712.1_00050 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000015	LS484712.1_00053 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000016	LS484712.1_00202 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000017	LS484712.1_00135 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000018	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	LS484712.1_00040 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000023	LS484712.1_00117 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000127	LS484712.1_00198 hypothetical protein	HF920637.1_00198 HF920637.1 - hypothetical protein translation, HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation
OG0000132	LS484712.1_00057 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000134	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000135	LS484712.1_00063 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000140	LS484712.1_00133 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000141	LS484712.1_00197 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000147	LS484712.1_00211 hypothetical protein	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation
OG0000159	LS484712.1_00116 hypothetical protein	HF920637.1_00056 HF920637.1 - hypothetical protein translation
OG0000160	LS484712.1_00113 hypothetical protein	HF920637.1_00140 HF920637.1 - hypothetical protein translation
OG0000161	LS484712.1_00140 hypothetical protein	HF920637.1_00095 HF920637.1 - hypothetical protein translation
OG0000162	LS484712.1_00195 hypothetical protein	HF920637.1_00049 HF920637.1 - hypothetical protein translation
OG0000163	LS484712.1_00212 hypothetical protein	HF920637.1_00120 HF920637.1 - DNA ligase translation
OG0000164	LS484712.1_00112 hypothetical protein	HF920637.1_00045 HF920637.1 - hypothetical protein translation
OG0000167	LS484712.1_00184 hypothetical protein	HF920637.1_00067 HF920637.1 - hypothetical protein translation
OG0000185	LS484712.1_00196 hypothetical protein	HF920637.1_00019 HF920637.1 - hypothetical protein translation
OG0000187	LS484712.1_00224 hypothetical protein	HF920637.1_00043 HF920637.1 - hypothetical protein translation
OG0000190	LS484712.1_00060 hypothetical protein	HF920637.1_00070 HF920637.1 - hypothetical protein translation
OG0000193	LS484712.1_00163 hypothetical protein	HF920637.1_00035 HF920637.1 - hypothetical protein translation
OG0000194	LS484712.1_00120 hypothetical protein	HF920637.1_00009 HF920637.1 - hypothetical protein translation
OG0000195	LS484712.1_00106 hypothetical protein	HF920637.1_00149 HF920637.1 - hypothetical protein translation
OG0000202	LS484712.1_00052 hypothetical protein	HF920637.1_00215 HF920637.1 - hypothetical protein translation
OG0000393	LS484712.1_00006 hypothetical protein	HF920637.1_00113 HF920637.1 - hypothetical protein translation
