Orthogroup	MN803438.1	KT804738.1
OG0000000	MN803438.1_00124	KT804738.1_00029
OG0000001	MN803438.1_00101, MN803438.1_00056	KT804738.1_00008
OG0000002	MN803438.1_00023	KT804738.1_00007
OG0000003	MN803438.1_00113	KT804738.1_00015
OG0000004	MN803438.1_00104	KT804738.1_00109
OG0000005	MN803438.1_00071	KT804738.1_00092
OG0000006	MN803438.1_00142	KT804738.1_00072
OG0000007	MN803438.1_00027	KT804738.1_00086
OG0000008	MN803438.1_00106	KT804738.1_00028
OG0000009	MN803438.1_00109	KT804738.1_00111
OG0000011	MN803438.1_00049	KT804738.1_00060
OG0000012	MN803438.1_00128	KT804738.1_00021
OG0000013	MN803438.1_00007	KT804738.1_00055
OG0000014	MN803438.1_00070	KT804738.1_00119
OG0000015	MN803438.1_00046	KT804738.1_00120
OG0000016	MN803438.1_00122	KT804738.1_00083
OG0000017	MN803438.1_00035	KT804738.1_00032
OG0000018	MN803438.1_00051	KT804738.1_00104
OG0000019	MN803438.1_00097	KT804738.1_00082
OG0000020	MN803438.1_00068	KT804738.1_00030
OG0000021	MN803438.1_00089	KT804738.1_00005
OG0000022	MN803438.1_00013	KT804738.1_00034
OG0000023	MN803438.1_00077	KT804738.1_00043
OG0000024	MN803438.1_00024	KT804738.1_00025
OG0000026	MN803438.1_00126	KT804738.1_00107
OG0000027	MN803438.1_00037	KT804738.1_00084
OG0000028	MN803438.1_00054	KT804738.1_00046
OG0000031	MN803438.1_00145	KT804738.1_00006
