Orthogroup	MN803438.1	OP009387.1
OG0000000	MN803438.1_00124	OP009387.1_00030
OG0000001	MN803438.1_00101, MN803438.1_00056	OP009387.1_00008
OG0000002	MN803438.1_00023	OP009387.1_00007
OG0000003	MN803438.1_00113	OP009387.1_00015
OG0000004	MN803438.1_00104	OP009387.1_00112
OG0000005	MN803438.1_00071	OP009387.1_00095
OG0000006	MN803438.1_00142	OP009387.1_00077
OG0000007	MN803438.1_00027	OP009387.1_00091
OG0000008	MN803438.1_00106	OP009387.1_00029
OG0000009	MN803438.1_00109	OP009387.1_00113
OG0000011	MN803438.1_00049	OP009387.1_00064
OG0000012	MN803438.1_00128	OP009387.1_00023
OG0000013	MN803438.1_00007	OP009387.1_00057
OG0000014	MN803438.1_00070	OP009387.1_00121
OG0000015	MN803438.1_00046	OP009387.1_00122
OG0000016	MN803438.1_00122	OP009387.1_00088
OG0000017	MN803438.1_00035	OP009387.1_00033
OG0000018	MN803438.1_00051	OP009387.1_00107
OG0000019	MN803438.1_00097	OP009387.1_00087
OG0000020	MN803438.1_00068	OP009387.1_00031
OG0000021	MN803438.1_00089	OP009387.1_00005
OG0000022	MN803438.1_00013	OP009387.1_00035
OG0000023	MN803438.1_00077	OP009387.1_00044
OG0000024	MN803438.1_00024	OP009387.1_00026
OG0000026	MN803438.1_00126	OP009387.1_00110
OG0000027	MN803438.1_00037	OP009387.1_00089
OG0000028	MN803438.1_00054	OP009387.1_00047
OG0000031	MN803438.1_00145	OP009387.1_00006
OG0000129	MN803438.1_00082	OP009387.1_00073
