Orthogroup	MN803438.1	AY532606.1
OG0000000	MN803438.1_00124	AY532606.1_00030
OG0000001	MN803438.1_00101, MN803438.1_00056	AY532606.1_00007
OG0000002	MN803438.1_00023	AY532606.1_00006
OG0000003	MN803438.1_00113	AY532606.1_00014
OG0000004	MN803438.1_00104	AY532606.1_00116, AY532606.1_00117
OG0000005	MN803438.1_00071	AY532606.1_00099, AY532606.1_00098
OG0000006	MN803438.1_00142	AY532606.1_00078
OG0000007	MN803438.1_00027	AY532606.1_00093
OG0000008	MN803438.1_00106	AY532606.1_00029
OG0000009	MN803438.1_00109	AY532606.1_00120, AY532606.1_00119
OG0000011	MN803438.1_00049	AY532606.1_00064
OG0000012	MN803438.1_00128	AY532606.1_00020
OG0000013	MN803438.1_00007	AY532606.1_00057
OG0000014	MN803438.1_00070	AY532606.1_00125
OG0000015	MN803438.1_00046	AY532606.1_00126
OG0000016	MN803438.1_00122	AY532606.1_00089
OG0000017	MN803438.1_00035	AY532606.1_00033
OG0000018	MN803438.1_00051	AY532606.1_00111
OG0000019	MN803438.1_00097	AY532606.1_00088
OG0000020	MN803438.1_00068	AY532606.1_00031
OG0000021	MN803438.1_00089	AY532606.1_00004
OG0000022	MN803438.1_00013	AY532606.1_00035
OG0000024	MN803438.1_00024	AY532606.1_00026
OG0000026	MN803438.1_00126	AY532606.1_00114
OG0000027	MN803438.1_00037	AY532606.1_00090
OG0000028	MN803438.1_00054	AY532606.1_00047
OG0000031	MN803438.1_00145	AY532606.1_00005
