Orthogroup	MN803438.1	BD143114.1
OG0000000	MN803438.1_00124	BD143114.1_00045
OG0000001	MN803438.1_00101, MN803438.1_00056	BD143114.1_00067
OG0000002	MN803438.1_00023	BD143114.1_00068
OG0000003	MN803438.1_00113	BD143114.1_00060
OG0000004	MN803438.1_00104	BD143114.1_00087
OG0000005	MN803438.1_00071	BD143114.1_00104
OG0000006	MN803438.1_00142	BD143114.1_00001
OG0000007	MN803438.1_00027	BD143114.1_00109
OG0000008	MN803438.1_00106	BD143114.1_00046
OG0000009	MN803438.1_00109	BD143114.1_00085
OG0000011	MN803438.1_00049	BD143114.1_00013
OG0000012	MN803438.1_00128	BD143114.1_00053
OG0000013	MN803438.1_00007	BD143114.1_00019
OG0000014	MN803438.1_00070	BD143114.1_00077
OG0000015	MN803438.1_00046	BD143114.1_00076
OG0000016	MN803438.1_00122	BD143114.1_00113
OG0000017	MN803438.1_00035	BD143114.1_00042
OG0000018	MN803438.1_00051	BD143114.1_00092
OG0000019	MN803438.1_00097	BD143114.1_00114
OG0000020	MN803438.1_00068	BD143114.1_00044
OG0000021	MN803438.1_00089	BD143114.1_00070
OG0000022	MN803438.1_00013	BD143114.1_00040
OG0000023	MN803438.1_00077	BD143114.1_00031
OG0000024	MN803438.1_00024	BD143114.1_00049
OG0000026	MN803438.1_00126	BD143114.1_00089
OG0000027	MN803438.1_00037	BD143114.1_00112
OG0000028	MN803438.1_00054	BD143114.1_00028
OG0000031	MN803438.1_00145	BD143114.1_00069
