Orthogroup	MT521409	KF938901
OG0000000	OM037668.1_00035 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	OM037668.1_00050 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000002	OM037668.1_00056 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	KF938901.1_00067 hypothetical protein
OG0000004	OM037668.1_00077 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000005	OM037668.1_00009 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000006	OM037668.1_00041 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000007	OM037668.1_00098 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000008	OM037668.1_00078 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000009	OM037668.1_00004 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000010	OM037668.1_00124 hypothetical protein	KF938901.1_00123 hypothetical protein
OG0000011	OM037668.1_00073 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000012	OM037668.1_00057 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000013	OM037668.1_00090 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000014	OM037668.1_00084 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000015	OM037668.1_00123 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000016	OM037668.1_00013 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000017	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000018	OM037668.1_00089 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000019	OM037668.1_00076 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000020	OM037668.1_00080 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000021	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000023	OM037668.1_00021 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000026	OM037668.1_00024 hypothetical protein	KF938901.1_00093 hypothetical protein
OG0000135	OM037668.1_00068 Thymidylate synthase	KF938901.1_00108 Thymidylate synthase
