Orthogroup	OK042108.1	AF303741.1
OG0000000	OK042108.1_00047	AF303741.1_00079, AF303741.1_00152
OG0000001	OK042108.1_00068	AF303741.1_00200, AF303741.1_00047
OG0000002	OK042108.1_00069	AF303741.1_00125
OG0000003	OK042108.1_00062	AF303741.1_00035
OG0000004	OK042108.1_00087	AF303741.1_00080
OG0000005	OK042108.1_00104	AF303741.1_00129
OG0000006	OK042108.1_00001	AF303741.1_00132
OG0000007	OK042108.1_00109	AF303741.1_00149
OG0000008	OK042108.1_00048	AF303741.1_00165
OG0000009	OK042108.1_00085	AF303741.1_00176
OG0000011	OK042108.1_00013	AF303741.1_00006
OG0000012	OK042108.1_00055	AF303741.1_00011
OG0000013	OK042108.1_00020	AF303741.1_00023
OG0000014	OK042108.1_00077	AF303741.1_00026
OG0000015	OK042108.1_00076	AF303741.1_00046
OG0000016	OK042108.1_00112	AF303741.1_00062
OG0000017	OK042108.1_00044	AF303741.1_00063
OG0000018	OK042108.1_00092	AF303741.1_00081
OG0000019	OK042108.1_00113	AF303741.1_00137
OG0000020	OK042108.1_00046	AF303741.1_00156
OG0000021	OK042108.1_00070	AF303741.1_00158
OG0000022	OK042108.1_00042	AF303741.1_00189
OG0000023	OK042108.1_00033	AF303741.1_00154
OG0000024	OK042108.1_00050	AF303741.1_00168
OG0000025	OK042108.1_00012	AF303741.1_00051
