Orthogroup	AF303741	OQ475017
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	AF303741.1_00035 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	AF303741.1_00047 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000003	AF303741.1_00165 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	AF303741.1_00176 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	AF303741.1_00006 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000006	AF303741.1_00011 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	AF303741.1_00023 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000008	AF303741.1_00026 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000009	AF303741.1_00046 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000010	AF303741.1_00063 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000011	AF303741.1_00081 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000012	AF303741.1_00125 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000013	AF303741.1_00137 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	AF303741.1_00149 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	AF303741.1_00156 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	AF303741.1_00158 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000017	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	AF303741.1_00062 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000019	AF303741.1_00080 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000020	AF303741.1_00129 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000021	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000022	AF303741.1_00154 FAD-linked sulfhydryl oxidase	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000023	AF303741.1_00132 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000026	AF303741.1_00051 Dual specificity protein phosphatase H1	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
