Orthogroup	NC_027778.1	AF303741.1
OG0000000	NC_027778.1_00083	AF303741.1_00079, AF303741.1_00152
OG0000001	NC_027778.1_00062	AF303741.1_00200, AF303741.1_00047
OG0000002	NC_027778.1_00061	AF303741.1_00125
OG0000003	NC_027778.1_00068	AF303741.1_00035
OG0000004	NC_027778.1_00040	AF303741.1_00080
OG0000005	NC_027778.1_00036	AF303741.1_00129
OG0000006	NC_027778.1_00098	AF303741.1_00132
OG0000007	NC_027778.1_00032	AF303741.1_00149
OG0000008	NC_027778.1_00080	AF303741.1_00165
OG0000009	NC_027778.1_00039	AF303741.1_00176
OG0000011	NC_027778.1_00111	AF303741.1_00006
OG0000012	NC_027778.1_00077	AF303741.1_00011
OG0000013	NC_027778.1_00018	AF303741.1_00023
OG0000014	NC_027778.1_00038	AF303741.1_00026
OG0000015	NC_027778.1_00116	AF303741.1_00046
OG0000016	NC_027778.1_00027	AF303741.1_00062
OG0000017	NC_027778.1_00132	AF303741.1_00063
OG0000018	NC_027778.1_00043	AF303741.1_00081
OG0000019	NC_027778.1_00026	AF303741.1_00137
OG0000020	NC_027778.1_00133	AF303741.1_00156
OG0000021	NC_027778.1_00106	AF303741.1_00158
OG0000022	NC_027778.1_00129	AF303741.1_00189
OG0000023	NC_027778.1_00003	AF303741.1_00154
OG0000024	NC_027778.1_00054	AF303741.1_00168
OG0000025	NC_027778.1_00094, NC_027778.1_00095	AF303741.1_00051
OG0000139	NC_027778.1_00049	AF303741.1_00101
OG0000164	NC_027778.1_00097	AF303741.1_00009
OG0000173	NC_027778.1_00096	AF303741.1_00117
