Orthogroup	NC_027778.1	L63545.1
OG0000000	NC_027778.1_00083	L63545.1_00007
OG0000001	NC_027778.1_00062	L63545.1_00035
OG0000002	NC_027778.1_00061	L63545.1_00079
OG0000003	NC_027778.1_00068	L63545.1_00076
OG0000004	NC_027778.1_00040	L63545.1_00001
OG0000005	NC_027778.1_00036	L63545.1_00056
OG0000006	NC_027778.1_00098	L63545.1_00093
OG0000007	NC_027778.1_00032	L63545.1_00090
OG0000008	NC_027778.1_00080	L63545.1_00108
OG0000009	NC_027778.1_00039	L63545.1_00024
OG0000011	NC_027778.1_00111	L63545.1_00069
OG0000012	NC_027778.1_00077	L63545.1_00071
OG0000013	NC_027778.1_00018	L63545.1_00004
OG0000014	NC_027778.1_00038	L63545.1_00030
OG0000015	NC_027778.1_00116	L63545.1_00110
OG0000016	NC_027778.1_00027	L63545.1_00073
OG0000017	NC_027778.1_00132	L63545.1_00072
OG0000018	NC_027778.1_00043	L63545.1_00068
OG0000019	NC_027778.1_00026	L63545.1_00009
OG0000020	NC_027778.1_00133	L63545.1_00098
OG0000021	NC_027778.1_00106	L63545.1_00043
OG0000022	NC_027778.1_00129	L63545.1_00013
OG0000023	NC_027778.1_00003	L63545.1_00054
OG0000024	NC_027778.1_00054	L63545.1_00015
OG0000026	NC_027778.1_00042	L63545.1_00002
OG0000027	NC_027778.1_00029	L63545.1_00058
OG0000028	NC_027778.1_00006	L63545.1_00003
OG0000151	NC_027778.1_00119	L63545.1_00085
OG0000161	NC_027778.1_00082	L63545.1_00087
