Orthogroup	NC_005946.1	MK098186.1
OG0000000	NC_005946.1_00010	MK098186.1_00030
OG0000001	NC_005946.1_00053	MK098186.1_00008
OG0000002	NC_005946.1_00091	MK098186.1_00007
OG0000003	NC_005946.1_00057	MK098186.1_00015
OG0000004	NC_005946.1_00028	MK098186.1_00109
OG0000005	NC_005946.1_00014	MK098186.1_00092
OG0000006	NC_005946.1_00042	MK098186.1_00073
OG0000007	NC_005946.1_00002	MK098186.1_00087
OG0000008	NC_005946.1_00095	MK098186.1_00029
OG0000009	NC_005946.1_00092	MK098186.1_00111
OG0000011	NC_005946.1_00011	MK098186.1_00061
OG0000012	NC_005946.1_00060	MK098186.1_00022
OG0000013	NC_005946.1_00022	MK098186.1_00055
OG0000014	NC_005946.1_00016	MK098186.1_00119
OG0000015	NC_005946.1_00021	MK098186.1_00120
OG0000016	NC_005946.1_00082	MK098186.1_00084
OG0000017	NC_005946.1_00087	MK098186.1_00033
OG0000018	NC_005946.1_00023	MK098186.1_00104
OG0000019	NC_005946.1_00094	MK098186.1_00083
OG0000020	NC_005946.1_00083	MK098186.1_00031
OG0000021	NC_005946.1_00038	MK098186.1_00005
OG0000022	NC_005946.1_00061	MK098186.1_00035
OG0000023	NC_005946.1_00089	MK098186.1_00044
OG0000024	NC_005946.1_00067	MK098186.1_00026
OG0000026	NC_005946.1_00086	MK098186.1_00107
OG0000027	NC_005946.1_00049	MK098186.1_00085
OG0000028	NC_005946.1_00085	MK098186.1_00047
OG0000112	NC_005946.1_00006	MK098186.1_00077
