Orthogroup	NC_005946.1	KC244182.1
OG0000000	NC_005946.1_00010	KC244182.1_00029
OG0000001	NC_005946.1_00053	KC244182.1_00008
OG0000002	NC_005946.1_00091	KC244182.1_00007
OG0000003	NC_005946.1_00057	KC244182.1_00014
OG0000004	NC_005946.1_00028	KC244182.1_00112
OG0000005	NC_005946.1_00014	KC244182.1_00095
OG0000006	NC_005946.1_00042	KC244182.1_00076
OG0000007	NC_005946.1_00002	KC244182.1_00090
OG0000008	NC_005946.1_00095	KC244182.1_00028
OG0000009	NC_005946.1_00092	KC244182.1_00114
OG0000011	NC_005946.1_00011	KC244182.1_00063
OG0000012	NC_005946.1_00060	KC244182.1_00022
OG0000013	NC_005946.1_00022	KC244182.1_00056
OG0000014	NC_005946.1_00016	KC244182.1_00121
OG0000015	NC_005946.1_00021	KC244182.1_00122
OG0000016	NC_005946.1_00082	KC244182.1_00087
OG0000017	NC_005946.1_00087	KC244182.1_00032
OG0000018	NC_005946.1_00023	KC244182.1_00107
OG0000019	NC_005946.1_00094	KC244182.1_00086
OG0000020	NC_005946.1_00083	KC244182.1_00030
OG0000021	NC_005946.1_00038	KC244182.1_00005
OG0000022	NC_005946.1_00061	KC244182.1_00034
OG0000023	NC_005946.1_00089	KC244182.1_00043
OG0000024	NC_005946.1_00067	KC244182.1_00025
OG0000026	NC_005946.1_00086	KC244182.1_00110
OG0000027	NC_005946.1_00049	KC244182.1_00088
OG0000028	NC_005946.1_00085	KC244182.1_00046
OG0000112	NC_005946.1_00006	KC244182.1_00080
