Orthogroup	Irido_IIV6_AF303741.1	Daphi_LS484712.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	Daphi_LS484712.1_00114
OG0000001	Irido_IIV6_AF303741.1_00125	Daphi_LS484712.1_00142
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	Daphi_LS484712.1_00095
OG0000003	Irido_IIV6_AF303741.1_00035	Daphi_LS484712.1_00187
OG0000005	Irido_IIV6_AF303741.1_00149	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	Irido_IIV6_AF303741.1_00165	Daphi_LS484712.1_00248
OG0000007	Irido_IIV6_AF303741.1_00132	Daphi_LS484712.1_00040
OG0000008	Irido_IIV6_AF303741.1_00176	Daphi_LS484712.1_00130
OG0000009	Irido_IIV6_AF303741.1_00129	Daphi_LS484712.1_00256
OG0000011	Irido_IIV6_AF303741.1_00137	Daphi_LS484712.1_00192
OG0000012	Irido_IIV6_AF303741.1_00189	Daphi_LS484712.1_00194
OG0000013	Irido_IIV6_AF303741.1_00081	Daphi_LS484712.1_00053
OG0000014	Irido_IIV6_AF303741.1_00062	Daphi_LS484712.1_00048
OG0000015	Irido_IIV6_AF303741.1_00156	Daphi_LS484712.1_00188
OG0000016	Irido_IIV6_AF303741.1_00011	Daphi_LS484712.1_00200
OG0000017	Irido_IIV6_AF303741.1_00023	Daphi_LS484712.1_00143
OG0000018	Irido_IIV6_AF303741.1_00026	Daphi_LS484712.1_00202
OG0000019	Irido_IIV6_AF303741.1_00006	Daphi_LS484712.1_00203
OG0000020	Irido_IIV6_AF303741.1_00046	Daphi_LS484712.1_00135
OG0000021	Irido_IIV6_AF303741.1_00063	Daphi_LS484712.1_00240
OG0000022	Irido_IIV6_AF303741.1_00158	Daphi_LS484712.1_00096
OG0000023	Irido_IIV6_AF303741.1_00154	Daphi_LS484712.1_00117
OG0000024	Irido_IIV6_AF303741.1_00168	Daphi_LS484712.1_00149
OG0000123	Irido_IIV6_AF303741.1_00195, Irido_IIV6_AF303741.1_00178, Irido_IIV6_AF303741.1_00121	Daphi_LS484712.1_00198
OG0000133	Irido_IIV6_AF303741.1_00157	Daphi_LS484712.1_00197
OG0000134	Irido_IIV6_AF303741.1_00126	Daphi_LS484712.1_00057
OG0000137	Irido_IIV6_AF303741.1_00031	Daphi_LS484712.1_00251
OG0000138	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162	Daphi_LS484712.1_00063
OG0000148	Irido_IIV6_AF303741.1_00072	Daphi_LS484712.1_00133
OG0000155	Irido_IIV6_AF303741.1_00145, Irido_IIV6_AF303741.1_00090	Daphi_LS484712.1_00211
OG0000167	Irido_IIV6_AF303741.1_00068, Irido_IIV6_AF303741.1_00067	Daphi_LS484712.1_00113
OG0000169	Irido_IIV6_AF303741.1_00056	Daphi_LS484712.1_00116
OG0000170	Irido_IIV6_AF303741.1_00087	Daphi_LS484712.1_00195
OG0000171	Irido_IIV6_AF303741.1_00076	Daphi_LS484712.1_00140
OG0000172	Irido_IIV6_AF303741.1_00096	Daphi_LS484712.1_00112
OG0000173	Irido_IIV6_AF303741.1_00091	Daphi_LS484712.1_00212
OG0000174	Irido_IIV6_AF303741.1_00179	Daphi_LS484712.1_00184
OG0000184	Irido_IIV6_AF303741.1_00184	Daphi_LS484712.1_00120
OG0000185	Irido_IIV6_AF303741.1_00177	Daphi_LS484712.1_00163
OG0000187	Irido_IIV6_AF303741.1_00122	Daphi_LS484712.1_00196
OG0000190	Irido_IIV6_AF303741.1_00151	Daphi_LS484712.1_00060
OG0000194	Irido_IIV6_AF303741.1_00193	Daphi_LS484712.1_00106
OG0000199	Irido_IIV6_AF303741.1_00146	Daphi_LS484712.1_00224
OG0000214	Irido_IIV6_AF303741.1_00074	Daphi_LS484712.1_00233
OG0000228	Irido_IIV6_AF303741.1_00008	Daphi_LS484712.1_00052
