Orthogroup	Irido_IIV6_AF303741.1	MCV_ML1_SDDV_OM037668.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	MCV_ML1_SDDV_OM037668.1_00035
OG0000001	Irido_IIV6_AF303741.1_00125	MCV_ML1_SDDV_OM037668.1_00057
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	MCV_ML1_SDDV_OM037668.1_00056
OG0000003	Irido_IIV6_AF303741.1_00035	MCV_ML1_SDDV_OM037668.1_00050
OG0000004	Irido_IIV6_AF303741.1_00080	MCV_ML1_SDDV_OM037668.1_00076
OG0000005	Irido_IIV6_AF303741.1_00149	MCV_ML1_SDDV_OM037668.1_00084
OG0000006	Irido_IIV6_AF303741.1_00165	MCV_ML1_SDDV_OM037668.1_00038
OG0000007	Irido_IIV6_AF303741.1_00132	MCV_ML1_SDDV_OM037668.1_00021
OG0000008	Irido_IIV6_AF303741.1_00176	MCV_ML1_SDDV_OM037668.1_00077
OG0000009	Irido_IIV6_AF303741.1_00129	MCV_ML1_SDDV_OM037668.1_00080
OG0000011	Irido_IIV6_AF303741.1_00137	MCV_ML1_SDDV_OM037668.1_00090
OG0000012	Irido_IIV6_AF303741.1_00189	MCV_ML1_SDDV_OM037668.1_00127
OG0000013	Irido_IIV6_AF303741.1_00081	MCV_ML1_SDDV_OM037668.1_00073
OG0000014	Irido_IIV6_AF303741.1_00062	MCV_ML1_SDDV_OM037668.1_00089
OG0000015	Irido_IIV6_AF303741.1_00156	MCV_ML1_SDDV_OM037668.1_00123
OG0000016	Irido_IIV6_AF303741.1_00011	MCV_ML1_SDDV_OM037668.1_00041
OG0000017	Irido_IIV6_AF303741.1_00023	MCV_ML1_SDDV_OM037668.1_00098
OG0000018	Irido_IIV6_AF303741.1_00026	MCV_ML1_SDDV_OM037668.1_00078
OG0000019	Irido_IIV6_AF303741.1_00006	MCV_ML1_SDDV_OM037668.1_00009
OG0000020	Irido_IIV6_AF303741.1_00046	MCV_ML1_SDDV_OM037668.1_00004
OG0000021	Irido_IIV6_AF303741.1_00063	MCV_ML1_SDDV_OM037668.1_00124
OG0000022	Irido_IIV6_AF303741.1_00158	MCV_ML1_SDDV_OM037668.1_00013
OG0000023	Irido_IIV6_AF303741.1_00154	MCV_ML1_SDDV_OM037668.1_00113
OG0000024	Irido_IIV6_AF303741.1_00168	MCV_ML1_SDDV_OM037668.1_00064
OG0000025	Irido_IIV6_AF303741.1_00051	MCV_ML1_SDDV_OM037668.1_00024
OG0000139	Irido_IIV6_AF303741.1_00101	MCV_ML1_SDDV_OM037668.1_00068
OG0000178	Irido_IIV6_AF303741.1_00117	MCV_ML1_SDDV_OM037668.1_00023
OG0000179	Irido_IIV6_AF303741.1_00009	MCV_ML1_SDDV_OM037668.1_00022
