Orthogroup	Irido_IIV6_AF303741.1	MCV_MP1_GSPI_KT804738.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	MCV_MP1_GSPI_KT804738.1_00029
OG0000001	Irido_IIV6_AF303741.1_00125	MCV_MP1_GSPI_KT804738.1_00007
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	MCV_MP1_GSPI_KT804738.1_00008
OG0000003	Irido_IIV6_AF303741.1_00035	MCV_MP1_GSPI_KT804738.1_00015
OG0000004	Irido_IIV6_AF303741.1_00080	MCV_MP1_GSPI_KT804738.1_00109
OG0000005	Irido_IIV6_AF303741.1_00149	MCV_MP1_GSPI_KT804738.1_00086
OG0000006	Irido_IIV6_AF303741.1_00165	MCV_MP1_GSPI_KT804738.1_00028
OG0000007	Irido_IIV6_AF303741.1_00132	MCV_MP1_GSPI_KT804738.1_00072
OG0000008	Irido_IIV6_AF303741.1_00176	MCV_MP1_GSPI_KT804738.1_00111
OG0000009	Irido_IIV6_AF303741.1_00129	MCV_MP1_GSPI_KT804738.1_00092
OG0000011	Irido_IIV6_AF303741.1_00137	MCV_MP1_GSPI_KT804738.1_00082
OG0000012	Irido_IIV6_AF303741.1_00189	MCV_MP1_GSPI_KT804738.1_00034
OG0000013	Irido_IIV6_AF303741.1_00081	MCV_MP1_GSPI_KT804738.1_00104
OG0000014	Irido_IIV6_AF303741.1_00062	MCV_MP1_GSPI_KT804738.1_00083
OG0000015	Irido_IIV6_AF303741.1_00156	MCV_MP1_GSPI_KT804738.1_00030
OG0000016	Irido_IIV6_AF303741.1_00011	MCV_MP1_GSPI_KT804738.1_00021
OG0000017	Irido_IIV6_AF303741.1_00023	MCV_MP1_GSPI_KT804738.1_00055
OG0000018	Irido_IIV6_AF303741.1_00026	MCV_MP1_GSPI_KT804738.1_00119
OG0000019	Irido_IIV6_AF303741.1_00006	MCV_MP1_GSPI_KT804738.1_00060
OG0000020	Irido_IIV6_AF303741.1_00046	MCV_MP1_GSPI_KT804738.1_00120
OG0000021	Irido_IIV6_AF303741.1_00063	MCV_MP1_GSPI_KT804738.1_00032
OG0000022	Irido_IIV6_AF303741.1_00158	MCV_MP1_GSPI_KT804738.1_00005
OG0000023	Irido_IIV6_AF303741.1_00154	MCV_MP1_GSPI_KT804738.1_00043
OG0000024	Irido_IIV6_AF303741.1_00168	MCV_MP1_GSPI_KT804738.1_00025
OG0000025	Irido_IIV6_AF303741.1_00051	MCV_MP1_GSPI_KT804738.1_00061
