Orthogroup	ON740976.1	OP009387.1
OG0000000	ON740976.1_00030	OP009387.1_00030
OG0000001	ON740976.1_00008	OP009387.1_00008
OG0000002	ON740976.1_00007	OP009387.1_00007
OG0000003	ON740976.1_00014	OP009387.1_00015
OG0000004	ON740976.1_00111	OP009387.1_00112
OG0000005	ON740976.1_00094	OP009387.1_00095
OG0000006	ON740976.1_00075	OP009387.1_00077
OG0000007	ON740976.1_00089	OP009387.1_00091
OG0000008	ON740976.1_00029	OP009387.1_00029
OG0000009	ON740976.1_00113	OP009387.1_00113
OG0000010	ON740976.1_00076	OP009387.1_00078
OG0000011	ON740976.1_00063	OP009387.1_00064
OG0000012	ON740976.1_00021	OP009387.1_00023
OG0000013	ON740976.1_00057	OP009387.1_00057
OG0000014	ON740976.1_00121	OP009387.1_00121
OG0000015	ON740976.1_00122	OP009387.1_00122
OG0000016	ON740976.1_00086	OP009387.1_00088
OG0000017	ON740976.1_00033	OP009387.1_00033
OG0000018	ON740976.1_00106	OP009387.1_00107
OG0000019	ON740976.1_00085	OP009387.1_00087
OG0000020	ON740976.1_00031	OP009387.1_00031
OG0000021	ON740976.1_00005	OP009387.1_00005
OG0000022	ON740976.1_00035	OP009387.1_00035
OG0000023	ON740976.1_00044	OP009387.1_00044
OG0000024	ON740976.1_00026	OP009387.1_00026
OG0000025	ON740976.1_00064	OP009387.1_00065
OG0000026	ON740976.1_00109	OP009387.1_00110
OG0000027	ON740976.1_00087	OP009387.1_00089
OG0000028	ON740976.1_00047	OP009387.1_00047
OG0000029	ON740976.1_00061	OP009387.1_00062
OG0000030	ON740976.1_00001	OP009387.1_00001
OG0000031	ON740976.1_00006	OP009387.1_00006
OG0000032	ON740976.1_00080	OP009387.1_00082
OG0000033	ON740976.1_00088	OP009387.1_00090
OG0000034	ON740976.1_00123	OP009387.1_00123
OG0000035	ON740976.1_00012	OP009387.1_00013
OG0000036	ON740976.1_00013	OP009387.1_00014
OG0000037	ON740976.1_00018	OP009387.1_00019
OG0000038	ON740976.1_00019	OP009387.1_00020
OG0000039	ON740976.1_00022	OP009387.1_00024
OG0000040	ON740976.1_00023	OP009387.1_00025
OG0000041	ON740976.1_00032	OP009387.1_00032
OG0000042	ON740976.1_00036	OP009387.1_00036
OG0000043	ON740976.1_00049	OP009387.1_00049
OG0000044	ON740976.1_00050	OP009387.1_00050
OG0000045	ON740976.1_00055	OP009387.1_00055
OG0000046	ON740976.1_00056	OP009387.1_00056
OG0000047	ON740976.1_00058	OP009387.1_00058
OG0000048	ON740976.1_00059	OP009387.1_00060
OG0000049	ON740976.1_00060	OP009387.1_00061
OG0000050	ON740976.1_00077	OP009387.1_00079
OG0000051	ON740976.1_00081	OP009387.1_00083
OG0000052	ON740976.1_00082	OP009387.1_00084
OG0000053	ON740976.1_00093	OP009387.1_00094
OG0000054	ON740976.1_00095	OP009387.1_00096
OG0000055	ON740976.1_00098	OP009387.1_00099
OG0000056	ON740976.1_00110	OP009387.1_00111
OG0000057	ON740976.1_00115	OP009387.1_00115
OG0000058	ON740976.1_00117	OP009387.1_00117
OG0000059	ON740976.1_00002	OP009387.1_00002
OG0000060	ON740976.1_00010	OP009387.1_00010
OG0000061	ON740976.1_00017	OP009387.1_00018
OG0000062	ON740976.1_00090	OP009387.1_00092
OG0000063	ON740976.1_00072	OP009387.1_00072
OG0000064	ON740976.1_00016	OP009387.1_00017
OG0000065	ON740976.1_00038	OP009387.1_00038
OG0000066	ON740976.1_00042	OP009387.1_00042
OG0000067	ON740976.1_00046	OP009387.1_00046
OG0000068	ON740976.1_00067	OP009387.1_00067
OG0000069	ON740976.1_00097	OP009387.1_00098
OG0000070	ON740976.1_00099	OP009387.1_00100
OG0000071	ON740976.1_00114	OP009387.1_00114
OG0000072	ON740976.1_00009	OP009387.1_00009
OG0000073	ON740976.1_00011	OP009387.1_00012
OG0000074	ON740976.1_00015	OP009387.1_00016
OG0000075	ON740976.1_00034	OP009387.1_00034
OG0000076	ON740976.1_00037	OP009387.1_00037
OG0000077	ON740976.1_00040	OP009387.1_00040
OG0000078	ON740976.1_00041	OP009387.1_00041
OG0000079	ON740976.1_00045	OP009387.1_00045
OG0000080	ON740976.1_00051	OP009387.1_00051
OG0000081	ON740976.1_00052	OP009387.1_00052
OG0000082	ON740976.1_00053	OP009387.1_00053
OG0000083	ON740976.1_00062	OP009387.1_00063
OG0000084	ON740976.1_00065	OP009387.1_00066
OG0000085	ON740976.1_00068	OP009387.1_00068
OG0000086	ON740976.1_00069	OP009387.1_00069
OG0000087	ON740976.1_00073	OP009387.1_00074
OG0000088	ON740976.1_00074	OP009387.1_00075
OG0000089	ON740976.1_00083	OP009387.1_00085
OG0000090	ON740976.1_00084	OP009387.1_00086
OG0000091	ON740976.1_00096	OP009387.1_00097
OG0000092	ON740976.1_00100	OP009387.1_00101
OG0000093	ON740976.1_00104	OP009387.1_00105
OG0000094	ON740976.1_00107	OP009387.1_00108
OG0000095	ON740976.1_00108	OP009387.1_00109
OG0000096	ON740976.1_00119	OP009387.1_00119
OG0000097	ON740976.1_00003	OP009387.1_00003
OG0000098	ON740976.1_00004	OP009387.1_00004
OG0000099	ON740976.1_00039	OP009387.1_00039
OG0000100	ON740976.1_00043	OP009387.1_00043
OG0000101	ON740976.1_00070	OP009387.1_00070
OG0000102	ON740976.1_00078	OP009387.1_00080
OG0000103	ON740976.1_00101	OP009387.1_00102
OG0000104	ON740976.1_00105	OP009387.1_00106
