Orthogroup	MCV_MP1_RSIV_OK042109.1	Chlor_AMIV_KF938901.1
OG0000000	MCV_MP1_RSIV_OK042109.1_00047	Chlor_AMIV_KF938901.1_00126
OG0000001	MCV_MP1_RSIV_OK042109.1_00069	Chlor_AMIV_KF938901.1_00044
OG0000002	MCV_MP1_RSIV_OK042109.1_00068	Chlor_AMIV_KF938901.1_00080
OG0000003	MCV_MP1_RSIV_OK042109.1_00061	Chlor_AMIV_KF938901.1_00005
OG0000004	MCV_MP1_RSIV_OK042109.1_00088	Chlor_AMIV_KF938901.1_00043
OG0000005	MCV_MP1_RSIV_OK042109.1_00110	Chlor_AMIV_KF938901.1_00053
OG0000006	MCV_MP1_RSIV_OK042109.1_00048	Chlor_AMIV_KF938901.1_00067
OG0000007	MCV_MP1_RSIV_OK042109.1_00001	Chlor_AMIV_KF938901.1_00072
OG0000008	MCV_MP1_RSIV_OK042109.1_00086	Chlor_AMIV_KF938901.1_00114
OG0000009	MCV_MP1_RSIV_OK042109.1_00105	Chlor_AMIV_KF938901.1_00125
OG0000011	MCV_MP1_RSIV_OK042109.1_00114	Chlor_AMIV_KF938901.1_00012
OG0000012	MCV_MP1_RSIV_OK042109.1_00042	Chlor_AMIV_KF938901.1_00023
OG0000013	MCV_MP1_RSIV_OK042109.1_00093	Chlor_AMIV_KF938901.1_00025
OG0000014	MCV_MP1_RSIV_OK042109.1_00113	Chlor_AMIV_KF938901.1_00046
OG0000015	MCV_MP1_RSIV_OK042109.1_00046	Chlor_AMIV_KF938901.1_00047
OG0000016	MCV_MP1_RSIV_OK042109.1_00054	Chlor_AMIV_KF938901.1_00054
OG0000017	MCV_MP1_RSIV_OK042109.1_00020	Chlor_AMIV_KF938901.1_00060
OG0000018	MCV_MP1_RSIV_OK042109.1_00078	Chlor_AMIV_KF938901.1_00074
OG0000019	MCV_MP1_RSIV_OK042109.1_00013	Chlor_AMIV_KF938901.1_00092
OG0000020	MCV_MP1_RSIV_OK042109.1_00077	Chlor_AMIV_KF938901.1_00095
OG0000021	MCV_MP1_RSIV_OK042109.1_00044	Chlor_AMIV_KF938901.1_00123
OG0000022	MCV_MP1_RSIV_OK042109.1_00071	Chlor_AMIV_KF938901.1_00124
OG0000023	MCV_MP1_RSIV_OK042109.1_00033	Chlor_AMIV_KF938901.1_00031
OG0000024	MCV_MP1_RSIV_OK042109.1_00051	Chlor_AMIV_KF938901.1_00094
