0: AF303741.faa
1: AF371960.faa
2: AY521625.faa
3: AY532606.faa
4: AY779031.faa
5: AY894343.faa
6: BD143114.faa
7: GQ273492.faa
8: HF920633.faa
9: HF920637.faa
10: KC244182.faa
11: KF938901.faa
12: KT804738.faa
13: KX643370.faa
14: LS484712.faa
15: MF599468.faa
16: MG570131.faa
17: MG570132.faa
18: MK098185.faa
19: MK098186.faa
20: MK098187.faa
21: MK689685.faa
22: MK689686.faa
23: MN432490.faa
24: MN562489.faa
25: MN803438.faa
26: MT521409.faa
27: MT798582.faa
28: MT926123.faa
29: MT986830.faa
30: MW139932.faa
31: NC_005946.faa
32: NC_027778.faa
33: OK042108.faa
34: OK042109.faa
35: OL310752.faa
36: OL774653.faa
37: OL774654.faa
38: OL774655.faa
39: OM037668.faa
40: ON075463.faa
41: ON740976.faa
42: ON743042.faa
43: OP009387.faa
44: OQ475017.faa
