Orthogroup	NC_005946	AF303741
OG0000000	NC_005946.1_00010 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	NC_005946.1_00053 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000002	NC_005946.1_00057 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	NC_005946.1_00038 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000006	NC_005946.1_00091 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000007	NC_005946.1_00060 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000008	NC_005946.1_00083 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	NC_005946.1_00022 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000011	NC_005946.1_00011 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000012	NC_005946.1_00094 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000013	NC_005946.1_00002 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000014	NC_005946.1_00023 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000015	NC_005946.1_00016 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000016	NC_005946.1_00021 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000017	NC_005946.1_00067 hypothetical protein	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000018	NC_005946.1_00087 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000019	NC_005946.1_00042 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000020	NC_005946.1_00082 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000021	NC_005946.1_00014 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000022	NC_005946.1_00028 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000024	NC_005946.1_00089 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000125	NC_005946.1_00020 hypothetical protein	AF303741.1_00170 hypothetical protein
OG0000132	NC_005946.1_00001 hypothetical protein	AF303741.1_00126 hypothetical protein
OG0000135	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	AF303741.1_00031 hypothetical protein
OG0000142	NC_005946.1_00054 hypothetical protein	AF303741.1_00072 hypothetical protein
OG0000148	NC_005946.1_00063 Deoxyuridine	AF303741.1_00192 hypothetical protein
OG0000167	NC_005946.1_00004 hypothetical protein	AF303741.1_00105 hypothetical protein
