Orthogroup	NC_005946	GQ273492
OG0000000	NC_005946.1_00010 hypothetical protein	GQ273492.1_00030 hypothetical protein
OG0000001	NC_005946.1_00053 hypothetical protein	GQ273492.1_00008 hypothetical protein
OG0000002	NC_005946.1_00057 hypothetical protein	GQ273492.1_00015 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	GQ273492.1_00029 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	GQ273492.1_00110 hypothetical protein
OG0000005	NC_005946.1_00038 hypothetical protein	GQ273492.1_00005 hypothetical protein
OG0000006	NC_005946.1_00091 Major capsid protein	GQ273492.1_00007 Major capsid protein
OG0000007	NC_005946.1_00060 hypothetical protein	GQ273492.1_00022 hypothetical protein
OG0000008	NC_005946.1_00083 hypothetical protein	GQ273492.1_00031 hypothetical protein
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein
OG0000010	NC_005946.1_00022 hypothetical protein	GQ273492.1_00056 hypothetical protein
OG0000011	NC_005946.1_00011 hypothetical protein	GQ273492.1_00063 hypothetical protein
OG0000012	NC_005946.1_00094 hypothetical protein	GQ273492.1_00083 hypothetical protein
OG0000013	NC_005946.1_00002 hypothetical protein	GQ273492.1_00087 hypothetical protein
OG0000014	NC_005946.1_00023 hypothetical protein	GQ273492.1_00103 hypothetical protein
OG0000015	NC_005946.1_00016 hypothetical protein	GQ273492.1_00118 hypothetical protein
OG0000016	NC_005946.1_00021 hypothetical protein	GQ273492.1_00119 hypothetical protein
OG0000017	NC_005946.1_00067 hypothetical protein	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000018	NC_005946.1_00087 hypothetical protein	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase
OG0000019	NC_005946.1_00042 hypothetical protein	GQ273492.1_00073 hypothetical protein
OG0000020	NC_005946.1_00082 hypothetical protein	GQ273492.1_00084 hypothetical protein
OG0000021	NC_005946.1_00014 hypothetical protein	GQ273492.1_00092 hypothetical protein
OG0000022	NC_005946.1_00028 hypothetical protein	GQ273492.1_00108 hypothetical protein
OG0000024	NC_005946.1_00089 hypothetical protein	GQ273492.1_00044 hypothetical protein
OG0000026	NC_005946.1_00049 hypothetical protein	GQ273492.1_00085 hypothetical protein
OG0000027	NC_005946.1_00086 hypothetical protein	GQ273492.1_00106 hypothetical protein
OG0000028	NC_005946.1_00085 hypothetical protein	GQ273492.1_00047 hypothetical protein
OG0000120	NC_005946.1_00006 hypothetical protein	GQ273492.1_00077 hypothetical protein
