Orthogroup	NC_005946	HF920637
OG0000000	NC_005946.1_00010 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	NC_005946.1_00053 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	NC_005946.1_00057 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	NC_005946.1_00095 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	NC_005946.1_00092 hypothetical protein	HF920637.1_00153 HF920637.1 - hypothetical protein translation, HF920637.1_00015 HF920637.1 - hypothetical protein translation
OG0000005	NC_005946.1_00038 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	NC_005946.1_00091 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	NC_005946.1_00060 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	NC_005946.1_00083 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	NC_005946.1_00022 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	NC_005946.1_00011 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	NC_005946.1_00094 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	NC_005946.1_00002 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	NC_005946.1_00023 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	NC_005946.1_00016 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	NC_005946.1_00021 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	NC_005946.1_00067 hypothetical protein	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	NC_005946.1_00087 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000019	NC_005946.1_00042 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	NC_005946.1_00082 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	NC_005946.1_00014 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	NC_005946.1_00028 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000024	NC_005946.1_00089 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000125	NC_005946.1_00020 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation
OG0000132	NC_005946.1_00001 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000135	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000142	NC_005946.1_00054 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000148	NC_005946.1_00063 Deoxyuridine	HF920637.1_00150 HF920637.1 - hypothetical protein translation
OG0000154	NC_005946.1_00075 hypothetical protein	HF920637.1_00072 HF920637.1 - hypothetical protein translation
