Orthogroup	NC_005946	OQ475017
OG0000000	NC_005946.1_00010 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	NC_005946.1_00053 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000002	NC_005946.1_00057 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000003	NC_005946.1_00095 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	NC_005946.1_00092 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	NC_005946.1_00038 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000006	NC_005946.1_00091 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000007	NC_005946.1_00060 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000008	NC_005946.1_00083 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	NC_005946.1_00022 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000011	NC_005946.1_00011 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000012	NC_005946.1_00094 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000013	NC_005946.1_00002 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000014	NC_005946.1_00023 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000015	NC_005946.1_00016 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000016	NC_005946.1_00021 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000017	NC_005946.1_00067 hypothetical protein	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	NC_005946.1_00087 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000019	NC_005946.1_00042 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000020	NC_005946.1_00082 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000021	NC_005946.1_00014 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000022	NC_005946.1_00028 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000024	NC_005946.1_00089 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000026	NC_005946.1_00049 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000027	NC_005946.1_00086 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000028	NC_005946.1_00085 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000120	NC_005946.1_00006 hypothetical protein	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation
